iter	Logloss	Accuracy
0	0.675101839	0.80625
1	0.6570047622	0.80625
2	0.6407269079	0.80875
3	0.6255475093	0.8125
4	0.6120185331	0.8075
5	0.6010848162	0.8075
6	0.592549434	0.8125
7	0.5802629675	0.8125
8	0.5699914213	0.81125
9	0.5598221621	0.81
10	0.5531480939	0.81125
11	0.5445249622	0.8125
12	0.5399113139	0.8125
13	0.5331670689	0.8125
14	0.5259241402	0.8125
15	0.5195402723	0.8125
16	0.512237623	0.8125
17	0.506901058	0.8125
18	0.5014164034	0.8125
19	0.4964516752	0.81375
20	0.4900876559	0.81375
21	0.4849012372	0.81375
22	0.4807022747	0.81375
23	0.4749531996	0.81625
24	0.4718495434	0.81625
25	0.4700929824	0.81625
26	0.4671072266	0.81625
27	0.4645149883	0.815
28	0.4606825504	0.81375
29	0.4576385059	0.815
30	0.4561843204	0.81625
31	0.4524027107	0.81625
32	0.450497223	0.815
33	0.4480001505	0.81375
34	0.4447482818	0.81625
35	0.442481855	0.81625
36	0.4417910122	0.8175
37	0.4406833205	0.8175
38	0.4378933577	0.8175
39	0.4369950245	0.81875
40	0.434557812	0.81875
41	0.4327076424	0.81875
42	0.4302636093	0.81875
43	0.4282130571	0.82
44	0.4260544963	0.82125
45	0.4245273959	0.82125
46	0.4234119186	0.82
47	0.4223819719	0.82
48	0.4210001518	0.82
49	0.420874124	0.82
50	0.4193605472	0.82
51	0.418225665	0.81875
52	0.417198643	0.82125
53	0.4164934779	0.8225
54	0.4150237928	0.82
55	0.4140231182	0.82125
56	0.4132526684	0.82125
57	0.4127722937	0.82125
58	0.4120002867	0.8225
59	0.4117739781	0.8225
60	0.4108669593	0.8225
61	0.4107588663	0.8225
62	0.4102687333	0.8225
63	0.4095216107	0.8225
64	0.4094927724	0.8225
65	0.4094656456	0.8225
66	0.4089147236	0.8225
67	0.4076138273	0.8225
68	0.4070922023	0.8225
69	0.4057994659	0.8275
70	0.4046731155	0.8275
71	0.4039331295	0.8275
72	0.4033623084	0.82875
73	0.4028733791	0.82875
74	0.4021237639	0.82875
75	0.4013555893	0.83125
76	0.4009051881	0.83125
77	0.4000093072	0.82875
78	0.3987237042	0.82875
79	0.3978339856	0.82875
80	0.3971666442	0.82875
81	0.3964841758	0.83
82	0.3960441068	0.8275
83	0.3956224182	0.83125
84	0.3948249771	0.82875
85	0.3946397222	0.82875
86	0.3942604168	0.82875
87	0.3942396415	0.82875
88	0.3938260823	0.83
89	0.3935215312	0.83125
90	0.3929698017	0.83375
91	0.3928148609	0.83125
92	0.3928107503	0.83125
93	0.3924954568	0.83375
94	0.3923357916	0.83375
95	0.3923014808	0.83375
96	0.3917485883	0.83375
97	0.3910788332	0.835
98	0.3904532083	0.835
99	0.3899925148	0.83625
100	0.3896461672	0.83625
101	0.3893248877	0.84
102	0.3889650619	0.84
103	0.3888374871	0.84125
104	0.3883659896	0.84125
105	0.3883579069	0.84125
106	0.3876265227	0.84375
107	0.3871644981	0.84375
108	0.3869992114	0.84375
109	0.3868473033	0.84375
110	0.3865770822	0.84375
111	0.3858193354	0.845
112	0.3850224736	0.845
