iter	Logloss	Accuracy
0	0.6739158964	0.81125
1	0.6557872836	0.81625
2	0.6391297629	0.815
3	0.6228843499	0.80875
4	0.6085804449	0.81
5	0.5973033051	0.81
6	0.5851468922	0.815
7	0.573960312	0.81625
8	0.5677323938	0.81125
9	0.5586386348	0.81125
10	0.5522885729	0.81375
11	0.5430407047	0.81375
12	0.535398936	0.81375
13	0.5282550492	0.81375
14	0.5216934464	0.8125
15	0.5127545441	0.81375
16	0.5042089458	0.81875
17	0.4986773428	0.82
18	0.4911053451	0.82125
19	0.4843150427	0.8225
20	0.4778509016	0.82375
21	0.4755477939	0.82125
22	0.4716647269	0.82125
23	0.4668100252	0.8225
24	0.4634868264	0.8225
25	0.4617697611	0.82125
26	0.4591879167	0.82125
27	0.4559413363	0.8225
28	0.452139673	0.82125
29	0.4492019868	0.8225
30	0.4451434151	0.82375
31	0.4421386296	0.825
32	0.4401426775	0.82625
33	0.4375802033	0.8275
34	0.4351391293	0.8275
35	0.4319314727	0.8275
36	0.4310711714	0.8275
37	0.4288870889	0.82875
38	0.4279495352	0.82875
39	0.4261301697	0.83
40	0.4245046465	0.82875
41	0.4240039041	0.82875
42	0.4234197026	0.82875
43	0.4224981951	0.82875
44	0.4217183989	0.82875
45	0.4195995664	0.82875
46	0.4167138342	0.82875
47	0.4162123429	0.82875
48	0.4158447405	0.82875
49	0.4157134755	0.82875
50	0.4149888151	0.82875
51	0.4138864154	0.8275
52	0.4134422392	0.82875
53	0.4127262129	0.82875
54	0.4123540282	0.82875
55	0.4122987325	0.82875
56	0.4109608667	0.82875
57	0.4096451229	0.8275
58	0.4087278166	0.8275
59	0.4076282827	0.8275
60	0.4073193346	0.8275
61	0.4053955328	0.82875
62	0.4037337322	0.82875
63	0.4033040158	0.82875
64	0.4022149993	0.83125
65	0.4015679907	0.8325
66	0.4012357852	0.8325
67	0.4002276825	0.83375
68	0.3999359813	0.835
69	0.3996947389	0.8325
70	0.3981586054	0.835
71	0.396745206	0.83625
72	0.3962452147	0.83625
73	0.3948702355	0.83375
74	0.3943677133	0.83625
75	0.3943126491	0.83625
76	0.3942070247	0.83625
77	0.3937731686	0.83625
78	0.3935140904	0.83625
79	0.392323445	0.83875
80	0.3918926937	0.83875
81	0.3912484074	0.84
82	0.3909595917	0.84
83	0.3902420304	0.83875
84	0.3899736306	0.83875
85	0.3889099707	0.83875
86	0.3882111291	0.83875
87	0.3874157302	0.84125
88	0.3862924867	0.84125
89	0.3858206219	0.83875
90	0.3851039856	0.84125
91	0.3845420856	0.83875
92	0.3840032459	0.84125
93	0.3836539355	0.84125
94	0.3832706928	0.84125
95	0.3826981592	0.84125
96	0.3823872497	0.84125
97	0.3819457912	0.84125
98	0.3815928724	0.84125
99	0.3806403392	0.84375
100	0.3802973549	0.84375
101	0.3801774571	0.8425
102	0.3797821457	0.84375
103	0.3796731985	0.84375
104	0.379619264	0.8425
105	0.3794291442	0.845
106	0.3790618403	0.84375
107	0.3787940515	0.845
108	0.3784878602	0.84625
109	0.3777031094	0.84625
110	0.377274267	0.84625
111	0.3769537285	0.84625
112	0.375745058	0.8475
113	0.3749136329	0.8475
114	0.3740656756	0.85125
115	0.3737057108	0.85125
116	0.3733438333	0.85125
117	0.3724928773	0.8525
118	0.3722622067	0.8525
119	0.3718430386	0.85375
120	0.3712625555	0.85375
121	0.3707133217	0.85375
122	0.3703932587	0.85375
123	0.3700419971	0.85375
124	0.3693026263	0.85375
125	0.3691303536	0.85375
126	0.3687426506	0.85375
127	0.3686095229	0.85375
128	0.3681090286	0.85375
129	0.3678525561	0.85375
130	0.3675287413	0.855
131	0.3669843764	0.855
132	0.3669841245	0.855
133	0.366726768	0.85625
134	0.3663713975	0.855
135	0.3657447393	0.85625
136	0.3657445548	0.85625
137	0.3656611706	0.85625
138	0.3656611421	0.85625
139	0.3656025236	0.85625
140	0.3651911522	0.85625
141	0.3649581639	0.85625
142	0.364740971	0.85625
143	0.3646038719	0.85625
144	0.3642847859	0.85625
145	0.3642421317	0.85625
146	0.3638233418	0.85625
147	0.3634013504	0.85625
148	0.3632061662	0.85625
149	0.3625628185	0.8575
150	0.3619171805	0.8575
151	0.3616635962	0.8575
152	0.3614706273	0.8575
153	0.3612269943	0.85625
154	0.3608202094	0.85625
155	0.3598253366	0.85625
156	0.3594265759	0.85625
157	0.3591012379	0.8575
158	0.3587190661	0.85875
159	0.3582304896	0.85875
160	0.3581612873	0.85875
161	0.3581190459	0.85875
162	0.3579696171	0.86
163	0.3579696082	0.86
164	0.3579062015	0.86
165	0.3577511439	0.8625
166	0.3574433132	0.86
167	0.3572435452	0.86
168	0.3569363469	0.86
169	0.3565906161	0.8625
170	0.3563397425	0.8625
171	0.356306223	0.8625
172	0.3562273896	0.8625
173	0.3560447789	0.86125
174	0.3556160209	0.8625
175	0.355368092	0.8625
176	0.3551464734	0.8625
177	0.354916617	0.8625
178	0.3545743332	0.8625
179	0.3542177935	0.8625
180	0.3539383827	0.8625
181	0.3539383826	0.8625
182	0.353791791	0.8625
183	0.3534884117	0.8625
184	0.3534347819	0.8625
185	0.352860231	0.8625
186	0.3522875434	0.865
187	0.3519651526	0.86875
188	0.3514850385	0.87
189	0.3512006176	0.86875
190	0.350791314	0.8675
191	0.3505357622	0.86875
192	0.350417907	0.86875
193	0.3500811343	0.8675
194	0.3496323485	0.8675
195	0.3496323482	0.8675
196	0.3493197554	0.8675
197	0.3490393799	0.86875
198	0.3486240508	0.8675
199	0.3481589901	0.8675
200	0.3480232968	0.8675
201	0.3479746715	0.8675
202	0.3476445903	0.86875
203	0.3473859299	0.86875
204	0.3473481428	0.86875
205	0.3471351967	0.86875
206	0.3469127138	0.87
207	0.3466804022	0.86875
208	0.3463455906	0.86875
209	0.3455816157	0.8675
210	0.3455164026	0.8675
211	0.3453106868	0.8675
212	0.3446139934	0.86875
213	0.3443472685	0.86875
214	0.3440919324	0.86875
215	0.3438193786	0.86875
216	0.3436761012	0.86875
217	0.3433856878	0.86875
218	0.3432339315	0.87
219	0.3431289239	0.87
220	0.34279091	0.87
221	0.3427437089	0.86875
222	0.3424993589	0.87
223	0.3420488904	0.87
224	0.3418527052	0.8725
225	0.3418526989	0.8725
226	0.3414849137	0.8725
227	0.34112675	0.8725
228	0.340864615	0.8725
229	0.3405573529	0.8725
230	0.3401528784	0.8725
231	0.3398415317	0.8725
232	0.3396031307	0.87375
233	0.3392737737	0.8725
234	0.3388325652	0.87375
235	0.3384728546	0.875
236	0.3377541029	0.875
237	0.3374520436	0.87625
238	0.3374130964	0.87625
239	0.3370935059	0.875
240	0.3363667942	0.87375
241	0.3360197204	0.8725
242	0.3352279534	0.875
243	0.3349142223	0.87625
244	0.3348774218	0.87625
245	0.3347002549	0.87625
246	0.3344263979	0.8775
247	0.3343909287	0.87875
248	0.3341114855	0.88
249	0.3339618847	0.88
250	0.3338194562	0.88
251	0.3336417545	0.88125
252	0.3335507949	0.88125
253	0.3330712433	0.8825
254	0.3327964569	0.8825
255	0.332562608	0.88125
256	0.3321862374	0.8825
257	0.3316891822	0.8825
258	0.3313248633	0.8825
259	0.3312741524	0.8825
260	0.331106304	0.8825
261	0.3308097726	0.8825
262	0.3306296432	0.8825
263	0.3305370858	0.88125
264	0.3301520536	0.8825
265	0.3299671955	0.8825
266	0.3299419589	0.8825
267	0.3297384615	0.8825
268	0.3295788253	0.8825
269	0.3290305362	0.88375
270	0.3284860956	0.88375
271	0.3283557986	0.88375
272	0.328210114	0.88375
273	0.3280011342	0.8825
274	0.3276470794	0.88125
275	0.3274158403	0.88125
276	0.3268545783	0.88125
277	0.3263398749	0.88125
278	0.3257913852	0.88125
279	0.3253368392	0.88125
280	0.3246449577	0.88375
281	0.3239647198	0.88375
282	0.323936266	0.88375
283	0.3235975481	0.885
284	0.3234898715	0.885
285	0.3226562125	0.885
286	0.3225668874	0.885
287	0.3223841521	0.885
288	0.3219686127	0.885
289	0.3217883353	0.885
290	0.3217341503	0.885
291	0.3211913413	0.885
292	0.3211084178	0.885
293	0.3207804865	0.88625
294	0.3204894033	0.88625
295	0.3204522608	0.88625
296	0.3202614915	0.8875
297	0.3201422023	0.8875
298	0.31968065	0.8875
299	0.3195421172	0.8875
300	0.3193805305	0.8875
301	0.3191141212	0.8875
302	0.3189210541	0.88625
303	0.3184928306	0.88625
304	0.3180737287	0.8875
305	0.317937933	0.8875
306	0.317179883	0.8875
307	0.3168400496	0.8875
308	0.3164813874	0.8875
309	0.3162699942	0.8875
310	0.3160116771	0.8875
311	0.315678852	0.8875
312	0.3155779409	0.8875
313	0.3154864482	0.8875
314	0.3150868872	0.8875
315	0.3148127709	0.8875
316	0.314559978	0.8875
317	0.314450525	0.8875
318	0.3142558121	0.8875
319	0.3141606919	0.8875
320	0.3136290008	0.88625
321	0.3135599334	0.88625
322	0.3134098946	0.88625
323	0.3131256092	0.88625
324	0.313003018	0.88625
325	0.3129314708	0.88625
326	0.3128145743	0.88625
327	0.3121055827	0.88625
328	0.3119531684	0.88625
329	0.3115581098	0.88625
330	0.311231511	0.88625
331	0.3110560054	0.88625
332	0.3105760987	0.8875
333	0.3105485149	0.8875
334	0.3103719832	0.88875
335	0.309797421	0.88875
336	0.3097287318	0.88875
337	0.3095374861	0.89
338	0.3094677638	0.89
339	0.3090889611	0.89125
340	0.3089705373	0.89125
341	0.3087474517	0.89
342	0.3082140459	0.89
343	0.3081640568	0.89
344	0.307971897	0.89
345	0.3078748834	0.89
346	0.30779448	0.89
347	0.3075599383	0.89
348	0.3069712256	0.89
349	0.3067667113	0.89
350	0.3065631887	0.89
351	0.3062782937	0.89
352	0.305978004	0.89
353	0.3057873331	0.89
354	0.3057468795	0.89
355	0.305627835	0.88875
356	0.305169174	0.89
357	0.3049557555	0.89125
358	0.3046786533	0.8925
359	0.3045212754	0.8925
360	0.3043322801	0.8925
361	0.3042736752	0.8925
362	0.3039141984	0.89125
363	0.3037140979	0.89125
364	0.3035636436	0.89125
365	0.3033555676	0.89125
366	0.3031496795	0.8925
367	0.3028206594	0.89375
368	0.3025826327	0.89375
369	0.3021608103	0.89375
370	0.3020293817	0.895
371	0.3018387579	0.895
372	0.3017752428	0.895
373	0.301401915	0.89625
374	0.3013043739	0.89625
375	0.3010419015	0.89625
376	0.3009635502	0.89625
377	0.3007743118	0.89625
378	0.3007266792	0.89625
379	0.3004242481	0.89625
380	0.2999571275	0.89625
381	0.2998201511	0.89625
382	0.2994700438	0.89625
383	0.2993155977	0.895
384	0.2991470356	0.89625
385	0.2991056527	0.89625
386	0.298836853	0.89625
387	0.2986980835	0.89625
388	0.2984568956	0.89625
389	0.2981523023	0.89625
390	0.2978497409	0.89625
391	0.2974002105	0.89625
392	0.2971969319	0.89625
393	0.2971662105	0.89625
394	0.2963645389	0.89625
395	0.2963304046	0.89625
396	0.2961313963	0.89625
397	0.2960902938	0.89625
398	0.2960570073	0.89625
399	0.2959313089	0.89625
400	0.2956447083	0.8975
401	0.2954265241	0.8975
402	0.2952521996	0.89625
403	0.2949488097	0.895
404	0.2948265328	0.895
405	0.2947745648	0.895
406	0.2944463344	0.895
407	0.2940541775	0.895
408	0.2939085035	0.89625
409	0.2938360727	0.89625
410	0.2937792751	0.89625
411	0.293364093	0.89625
412	0.2933077097	0.895
413	0.2931056027	0.895
414	0.2927775779	0.895
415	0.2922452649	0.89625
416	0.2921388835	0.895
417	0.2921167658	0.895
418	0.2918355059	0.895
419	0.2917363946	0.895
420	0.291154629	0.89625
421	0.2908282879	0.89625
422	0.2906627929	0.89625
423	0.2902242968	0.89625
424	0.2900739835	0.895
425	0.2897412872	0.89625
426	0.2896714163	0.89625
427	0.2895444448	0.89625
428	0.2894846329	0.8975
429	0.2893380183	0.8975
430	0.2892920849	0.8975
431	0.289210643	0.8975
432	0.2891271499	0.8975
433	0.2886756442	0.89625
434	0.2884725255	0.89875
435	0.2882120129	0.89875
436	0.2881054947	0.89875
437	0.2880721266	0.89875
438	0.2878432686	0.89875
439	0.2877028367	0.89875
440	0.2875408648	0.89875
441	0.2871381699	0.8975
442	0.2870380184	0.8975
443	0.2868725061	0.89875
444	0.2864607851	0.89875
445	0.2862677543	0.89875
446	0.2859355585	0.8975
447	0.285609775	0.8975
448	0.2854836622	0.89875
449	0.2852167835	0.89875
450	0.2849125485	0.89875
451	0.2846329868	0.89875
452	0.284486768	0.9
453	0.2841023149	0.9
454	0.284057633	0.9
455	0.2837828223	0.9
456	0.2836020955	0.9
457	0.283535446	0.9
458	0.283155863	0.9
459	0.2830494182	0.9
460	0.2826673293	0.89875
461	0.2826273079	0.89875
462	0.282518604	0.89875
463	0.2821360827	0.9
464	0.2819803225	0.9
465	0.2818437421	0.9
466	0.2813489758	0.89875
467	0.2809040838	0.9
468	0.280765195	0.9
469	0.2806385713	0.9
470	0.2803361665	0.9
471	0.2797364474	0.9
472	0.2793023876	0.89875
473	0.279277921	0.89875
474	0.2789801649	0.89875
475	0.2786359501	0.8975
476	0.2785205676	0.8975
477	0.2780739723	0.8975
478	0.2778962559	0.8975
479	0.2776051536	0.8975
480	0.2775971664	0.8975
481	0.2774597319	0.8975
482	0.277443085	0.8975
483	0.2772800585	0.8975
484	0.2771213503	0.9
485	0.2766127918	0.90125
486	0.2762319222	0.90125
487	0.2760520687	0.90125
488	0.2759464636	0.90125
489	0.2756202559	0.90125
490	0.2754453956	0.90125
491	0.2753410686	0.90125
492	0.2747354091	0.9025
493	0.2746199028	0.9025
494	0.2745715895	0.9025
495	0.2743913231	0.9025
496	0.2741771191	0.9025
497	0.2739958105	0.90375
498	0.2736906136	0.9025
499	0.273365738	0.9025
500	0.2728565545	0.90375
501	0.2727423473	0.90375
