iter	Passed	Remaining
0	9	9427
1	21	10633
2	37	12313
3	51	12912
4	62	12340
5	73	12104
6	81	11602
7	95	11827
8	108	11947
9	119	11848
10	128	11509
11	141	11610
12	154	11767
13	168	11834
14	180	11872
15	193	11886
16	207	12007
17	214	11729
18	227	11744
19	270	13241
20	296	13838
21	309	13754
22	330	14052
23	430	17514
24	446	17419
25	460	17245
26	476	17189
27	488	16941
28	503	16860
29	529	17126
30	542	16946
31	555	16791
32	568	16659
33	581	16521
34	588	16216
35	601	16095
36	614	15997
37	629	15929
38	642	15838
39	659	15819
40	673	15742
41	679	15490
42	692	15417
43	704	15314
44	719	15261
45	722	14981
46	735	14908
47	748	14854
48	762	14795
49	775	14741
50	781	14534
51	794	14480
52	807	14422
53	812	14226
54	826	14203
55	839	14157
56	842	13941
57	850	13807
58	865	13796
59	879	13771
60	886	13641
61	900	13628
62	913	13588
63	926	13553
64	939	13512
65	946	13393
66	949	13217
67	962	13186
68	974	13151
69	988	13130
70	1000	13093
71	1013	13064
72	1024	13007
73	1028	12875
74	1038	12802
75	1051	12782
76	1066	12785
77	1083	12811
78	1098	12810
79	1114	12816
80	1126	12781
81	1141	12775
82	1156	12778
83	1169	12755
84	1176	12662
85	1180	12551
86	1193	12526
87	1207	12508
88	1221	12507
89	1234	12483
90	1247	12457
91	1264	12475
92	1305	12730
93	1321	12741
94	1335	12726
95	1346	12681
96	1359	12655
97	1366	12574
98	1377	12538
99	1380	12421
100	1392	12398
101	1405	12370
102	1419	12358
103	1432	12339
104	1573	13409
105	1591	13425
106	1608	13425
107	1625	13423
108	1643	13432
109	1658	13415
110	1661	13303
111	1675	13280
112	1688	13254
113	1701	13222
114	1713	13186
115	1721	13116
116	1734	13088
117	1746	13054
118	1759	13026
119	1766	12950
120	1778	12918
121	1791	12891
122	1807	12887
123	1820	12864
124	1834	12843
125	1849	12829
126	1857	12765
127	1870	12742
128	1883	12717
129	1895	12683
130	1909	12664
131	1914	12587
132	1919	12510
133	1932	12486
134	1936	12411
135	1951	12396
136	1964	12376
137	1976	12348
138	1991	12335
139	2005	12316
140	2018	12296
141	2033	12288
142	2047	12269
143	2059	12243
144	2072	12222
145	2086	12204
146	2099	12183
147	2113	12165
148	2127	12149
149	2139	12122
150	2152	12105
151	2168	12098
152	2216	12270
153	2255	12389
154	2269	12371
155	2283	12351
156	2289	12292
157	2302	12270
158	2315	12248
159	2328	12227
160	2339	12190
161	2353	12175
162	2356	12100
163	2369	12076
164	2382	12057
165	2396	12039
166	2400	11976
167	2415	11961
168	2428	11940
169	2441	11920
170	2454	11901
171	2475	11919
172	2484	11875
173	2497	11858
174	2512	11843
175	2525	11825
176	2538	11804
177	2548	11766
178	2563	11755
179	2578	11745
180	2598	11757
181	2696	12118
182	2710	12100
183	2724	12082
184	2741	12079
185	2752	12046
