iter	Logloss	Accuracy
0	0.6741956754	0.8075
1	0.6551890032	0.8025
2	0.638082178	0.81
3	0.6233473581	0.80625
4	0.6071159358	0.80625
5	0.5940834898	0.80375
6	0.5810052181	0.81125
7	0.5712627386	0.80875
8	0.5615765922	0.81
9	0.5562288781	0.80625
10	0.5458612421	0.8075
11	0.5376777732	0.80875
12	0.5306763977	0.80875
13	0.5234424687	0.81125
14	0.518664981	0.81125
15	0.512350067	0.8125
16	0.5062835216	0.8125
17	0.4989453165	0.81125
18	0.4955806964	0.80875
19	0.489151781	0.80625
20	0.4864328786	0.8075
21	0.4816147659	0.81
22	0.4795805771	0.80875
23	0.4758561454	0.81
24	0.4720806097	0.81125
25	0.4670020133	0.81375
26	0.4638543081	0.81125
27	0.4605641278	0.81
28	0.4591577809	0.80875
29	0.4568369294	0.81
30	0.453700292	0.81
31	0.4513978492	0.81
32	0.448872093	0.81
33	0.4464595328	0.81
34	0.4437837157	0.81125
35	0.4415261737	0.8125
36	0.4390784667	0.81125
37	0.4375954042	0.81125
38	0.4363013279	0.81125
39	0.4341830882	0.815
40	0.4328514168	0.815
41	0.4307583008	0.81625
42	0.430608875	0.81625
43	0.4284195846	0.8175
44	0.4265459829	0.8175
45	0.4261716704	0.8175
46	0.4256579309	0.8175
47	0.4238479208	0.81625
48	0.4226843095	0.8175
49	0.422348599	0.8175
50	0.4209505345	0.8175
51	0.4199042665	0.8175
52	0.4191502244	0.8175
53	0.41814875	0.81625
54	0.417242594	0.8175
55	0.4162187799	0.82
56	0.4154163849	0.82
57	0.4149479709	0.82
58	0.4142296995	0.82
59	0.4131077094	0.82125
60	0.4126650089	0.8225
61	0.4122353545	0.8225
62	0.4118728998	0.82125
63	0.4101760179	0.825
64	0.4095317879	0.82625
65	0.4088744958	0.8275
66	0.4075114111	0.8275
67	0.4073453244	0.8275
68	0.4065737413	0.8275
69	0.4058535898	0.82875
70	0.4049281437	0.83
71	0.4046738789	0.83
72	0.4037970472	0.83125
73	0.402734309	0.83125
74	0.4025301999	0.83125
75	0.4022653001	0.83125
76	0.4014445759	0.83125
77	0.400387643	0.83125
78	0.4002607082	0.8325
79	0.3996273911	0.8325
80	0.398911291	0.8325
81	0.3984220044	0.8325
82	0.3980669169	0.8325
83	0.3979797782	0.8325
84	0.3972398494	0.83125
85	0.3972315441	0.83125
86	0.3968743138	0.8325
87	0.3959264446	0.83375
88	0.3958059687	0.83375
89	0.395639676	0.8325
90	0.395440522	0.83375
91	0.3953554505	0.83375
92	0.3952286123	0.83375
93	0.3941080328	0.835
94	0.3940997264	0.835
95	0.393323259	0.83375
96	0.3930291318	0.83375
97	0.3921530543	0.835
98	0.3916746718	0.8375
99	0.3913514562	0.83625
100	0.3912951331	0.83625
101	0.3912922247	0.835
102	0.3908771476	0.83375
103	0.3903390731	0.8325
104	0.3902298253	0.8325
105	0.3901520517	0.83375
106	0.389443846	0.835
107	0.3894419229	0.835
108	0.389183714	0.83625
109	0.3887634357	0.8375
110	0.3884789153	0.8375
111	0.3880267605	0.83875
112	0.3877133246	0.83875
113	0.3872599375	0.8375
114	0.3868108147	0.83875
115	0.3866162727	0.8375
116	0.3859193811	0.8375
117	0.3858380892	0.8375
118	0.3854640497	0.83875
119	0.3849729888	0.84
120	0.3847460912	0.84
121	0.3845869961	0.84125
122	0.384299589	0.84125
123	0.3841816266	0.84125
124	0.3839490715	0.84
125	0.3837120074	0.84
126	0.3835082086	0.84
127	0.383453366	0.84
128	0.3830447518	0.84125
129	0.3826957114	0.84125
130	0.3825047224	0.84125
131	0.3822521857	0.84125
132	0.3821335075	0.84125
133	0.3821294866	0.84125
134	0.3819023246	0.84125
135	0.3815296026	0.84125
136	0.3813896524	0.84125
137	0.381251188	0.84125
138	0.3808681507	0.84125
139	0.3806185668	0.84125
140	0.3802255609	0.84125
141	0.3802254044	0.84125
142	0.3798920121	0.84125
143	0.3798475128	0.84125
144	0.3795789957	0.8425
145	0.3793897555	0.84125
146	0.3787469875	0.8425
147	0.3784687794	0.84375
148	0.3781895826	0.84375
149	0.3779081337	0.845
150	0.3770443224	0.84875
151	0.3768867979	0.84875
152	0.3766979167	0.84875
153	0.3765594513	0.8475
154	0.3764872903	0.8475
155	0.3761644318	0.84875
156	0.3761048315	0.85
157	0.3759311187	0.85
158	0.3756349502	0.85
159	0.3754580536	0.85125
160	0.3750420319	0.8475
161	0.3747057688	0.85125
162	0.374127014	0.85125
163	0.3737364396	0.85
164	0.373455617	0.8475
165	0.3729371829	0.8475
166	0.3727822859	0.8475
167	0.3727101702	0.84875
168	0.3726222542	0.84875
169	0.3724266261	0.84875
170	0.3723253326	0.845
171	0.3721880565	0.845
172	0.3721064023	0.845
173	0.3718419801	0.845
174	0.3717443133	0.84375
175	0.3715076791	0.84375
176	0.3713417587	0.84375
177	0.3712763254	0.84375
178	0.3708236566	0.84375
179	0.3706167809	0.84375
180	0.3701210879	0.84375
181	0.3701026007	0.84375
182	0.3699265123	0.845
183	0.3693786764	0.845
184	0.368724024	0.8475
185	0.3685711869	0.8475
186	0.3685066252	0.84875
187	0.3679597232	0.85125
188	0.3676307086	0.85125
189	0.367516989	0.85
190	0.3668226908	0.85125
191	0.3663710998	0.8525
192	0.3659074565	0.8525
193	0.3653772815	0.85
194	0.3652694717	0.85
195	0.3652527493	0.85
196	0.3651204395	0.85125
197	0.3650553842	0.85125
198	0.3644106993	0.855
199	0.3642533586	0.855
200	0.3641325549	0.855
201	0.3640765524	0.855
202	0.3639225474	0.855
203	0.3635953335	0.85375
204	0.3633335308	0.855
205	0.3632635293	0.855
206	0.3631808686	0.855
207	0.3625020924	0.85125
208	0.3619935001	0.85125
209	0.3617696863	0.85375
210	0.3614276078	0.85375
211	0.3612486443	0.85375
212	0.3611972892	0.85
213	0.3609918769	0.85125
214	0.360718386	0.8525
215	0.3606577216	0.8525
216	0.3602397556	0.85625
217	0.3600505242	0.85625
218	0.3597367918	0.86
219	0.3592510043	0.8625
220	0.3586149137	0.86
221	0.3583696353	0.86
222	0.3580328083	0.86125
223	0.3575328981	0.8625
224	0.3573133491	0.8625
225	0.3568069978	0.8625
226	0.3567620708	0.8625
227	0.3561079385	0.86125
228	0.3559549694	0.86
229	0.355836307	0.86
230	0.3557952756	0.86
231	0.3554257968	0.86125
232	0.3552104087	0.86125
233	0.3551259533	0.86125
234	0.3548822317	0.86125
235	0.3547255126	0.86125
236	0.3544030393	0.8625
237	0.3541727121	0.8625
