iter	Passed	Remaining
0	12	12727
1	26	13070
2	39	13085
3	52	13088
4	66	13175
5	79	13169
6	92	13108
7	100	12510
8	112	12406
9	117	11631
10	129	11634
11	142	11710
12	155	11769
13	167	11782
14	179	11788
15	192	11820
16	206	11931
17	219	11979
18	228	11789
19	242	11905
20	252	11756
21	266	11834
22	271	11518
23	279	11352
24	291	11362
25	305	11429
26	315	11375
27	328	11401
28	335	11238
29	341	11055
30	354	11085
31	367	11128
32	381	11174
33	393	11176
34	406	11214
35	419	11238
36	434	11305
37	442	11214
38	457	11274
39	472	11328
40	482	11282
41	495	11291
42	499	11121
43	512	11127
44	524	11128
45	537	11153
46	550	11169
47	563	11180
48	575	11165
49	580	11028
50	592	11029
51	605	11042
52	618	11058
53	632	11086
54	647	11125
55	660	11129
56	672	11125
57	685	11133
58	698	11141
59	711	11154
60	724	11156
61	736	11141
62	745	11084
63	764	11182
64	834	12007
65	849	12027
66	866	12068
67	875	11993
68	890	12016
69	940	12493
70	959	12552
71	977	12593
72	990	12573
73	1002	12548
74	1013	12495
75	1024	12455
76	1036	12424
77	1049	12401
78	1060	12364
79	1072	12336
80	1085	12314
81	1098	12295
82	1111	12274
83	1115	12163
84	1127	12141
85	1130	12015
86	1143	12000
87	1156	11981
88	1169	11966
89	1180	11936
90	1193	11921
91	1203	11873
92	1214	11849
93	1228	11842
94	1236	11777
95	1248	11757
96	1262	11752
97	1276	11751
98	1290	11743
99	1303	11730
100	1309	11658
101	1312	11555
102	1325	11539
103	1337	11524
104	1350	11507
105	1356	11439
106	1368	11424
107	1371	11330
108	1384	11317
109	1396	11300
110	1409	11288
111	1423	11285
112	1436	11275
113	1451	11279
114	1464	11272
115	1478	11267
116	1491	11256
117	1505	11253
118	1519	11247
119	1531	11232
120	1543	11211
121	1555	11195
122	1568	11184
123	1581	11175
124	1593	11154
125	1606	11141
126	1619	11134
127	1624	11066
128	1639	11069
129	1653	11065
130	1667	11058
131	1679	11045
132	1693	11039
133	1701	10999
134	1714	10988
135	1727	10975
136	1740	10965
137	1753	10954
138	1766	10940
139	1779	10931
140	1792	10918
141	1795	10850
142	1808	10840
143	1815	10790
144	1832	10806
145	1906	11154
146	1921	11152
147	1934	11138
148	1950	11137
149	1964	11130
150	1977	11116
151	1991	11107
152	2002	11086
153	2007	11030
154	2017	10996
155	2030	10986
156	2059	11056
157	2074	11053
158	2103	11125
159	2115	11105
160	2128	11089
161	2140	11074
162	2153	11056
163	2165	11038
164	2178	11022
165	2191	11011
166	2205	10998
167	2211	10951
168	2217	10903
169	2230	10890
170	2242	10872
171	2256	10861
172	2269	10850
173	2282	10834
174	2294	10817
175	2306	10799
176	2319	10783
177	2332	10773
178	2345	10755
179	2357	10741
180	2370	10728
181	2383	10710
182	2392	10679
183	2405	10666
184	2418	10653
185	2433	10647
186	2440	10609
187	2453	10597
188	2466	10582
189	2477	10564
190	2491	10551
191	2504	10538
192	2516	10523
193	2529	10509
194	2541	10493
195	2556	10485
196	2569	10472
197	2577	10440
198	2590	10429
199	2604	10416
200	2617	10405
201	2625	10371
202	2640	10366
203	2654	10357
204	2667	10346
205	2681	10335
206	2692	10316
207	2705	10300
208	2718	10290
209	2732	10278
210	2745	10265
211	2757	10248
212	2769	10232
213	2781	10217
214	2795	10206
215	2807	10191
216	2821	10179
217	2834	10169
218	2848	10159
219	2864	10154
220	2876	10139
221	2890	10128
222	2910	10142
223	3071	10640
224	3086	10631
225	3102	10625
226	3108	10584
227	3123	10575
228	3143	10584
229	3155	10564
230	3167	10543
231	3179	10525
232	3192	10509
233	3205	10491
234	3216	10472
235	3229	10454
236	3243	10443
237	3257	10428
238	3270	10415
239	3284	10401
240	3300	10395
241	3315	10384
242	3329	10370
243	3342	10355
244	3355	10340
245	3367	10320
246	3379	10303
247	3391	10284
248	3404	10268
249	3415	10247
250	3428	10231
251	3441	10215
252	3454	10199
253	3468	10186
254	3480	10168
255	3494	10155
256	3509	10146
257	3523	10132
258	3536	10117
259	3550	10106
260	3564	10092
261	3577	10076
262	3590	10062
263	3603	10047
264	3616	10030
265	3629	10014
266	3642	9998
267	3655	9983
268	3669	9970
269	3681	9953
270	3693	9935
271	3707	9922
272	3721	9910
273	3735	9897
274	3750	9886
275	3763	9871
276	3775	9854
277	3788	9838
278	3801	9822
279	3815	9812
280	3829	9799
281	3842	9783
282	3855	9768
283	3870	9757
284	3883	9742
285	3896	9728
286	3909	9712
287	3923	9699
288	3937	9685
289	3949	9670
290	3962	9655
291	3974	9637
292	3987	9622
293	4000	9606
294	4013	9590
295	4026	9575
296	4038	9559
297	4051	9544
298	4068	9539
299	4147	9677
300	4162	9665
301	4179	9660
302	4195	9651
303	4214	9648
304	4228	9636
305	4242	9622
306	4256	9607
307	4271	9597
308	4283	9577
309	4294	9559
310	4309	9548
311	4332	9552
312	4357	9564
313	4372	9552
314	4380	9524
315	4404	9533
316	4416	9515
317	4427	9496
318	4439	9477
319	4452	9461
320	4466	9446
321	4478	9429
322	4492	9415
323	4507	9404
324	4521	9390
325	4534	9375
326	4547	9359
327	4559	9341
328	4572	9325
329	4585	9310
330	4598	9294
331	4612	9279
332	4624	9262
333	4637	9246
334	4650	9231
335	4664	9217
336	4677	9202
337	4690	9186
338	4705	9175
339	4721	9165
340	4736	9154
341	4749	9137
342	4761	9120
343	4774	9104
344	4787	9089
345	4801	9075
346	4814	9060
347	4828	9046
348	4840	9029
349	4853	9014
350	4867	9000
351	4881	8986
352	4895	8973
353	4909	8958
354	4924	8947
355	4937	8931
356	4950	8916
357	4963	8900
358	4976	8885
359	4989	8870
360	5002	8854
361	5015	8839
362	5029	8826
363	5043	8811
364	5056	8796
365	5069	8781
366	5082	8766
367	5097	8754
368	5111	8740
369	5125	8726
370	5147	8726
371	5218	8809
372	5234	8798
373	5249	8786
374	5264	8774
375	5279	8761
376	5294	8749
377	5308	8735
378	5322	8721
379	5336	8706
380	5348	8689
381	5361	8673
382	5374	8658
383	5388	8644
384	5400	8626
385	5413	8610
386	5426	8595
387	5439	8580
388	5452	8563
389	5466	8550
390	5479	8534
391	5493	8519
392	5510	8511
393	5540	8522
394	5553	8505
395	5567	8491
396	5579	8473
397	5591	8457
398	5604	8442
399	5617	8426
400	5630	8410
401	5643	8395
402	5656	8379
403	5669	8364
404	5685	8352
405	5697	8336
406	5710	8320
407	5723	8304
408	5735	8288
409	5748	8272
410	5762	8257
411	5774	8241
412	5787	8226
413	5801	8212
414	5815	8197
415	5829	8184
416	5845	8171
417	5862	8162
418	5882	8156
419	5898	8145
420	5912	8131
421	5926	8117
422	5939	8101
423	5951	8085
424	5964	8069
425	5977	8053
426	5988	8036
427	6001	8020
428	6014	8004
429	6027	7989
430	6041	7976
431	6054	7961
432	6069	7948
433	6083	7934
434	6098	7921
435	6112	7907
436	6126	7892
437	6139	7877
438	6152	7861
439	6166	7848
440	6180	7834
441	6196	7823
442	6273	7887
443	6290	7876
444	6305	7864
445	6322	7853
446	6334	7837
447	6347	7821
448	6360	7805
449	6373	7789
450	6385	7773
451	6397	7756
452	6411	7741
453	6425	7727
454	6438	7712
455	6451	7696
456	6465	7681
457	6477	7665
458	6490	7650
459	6506	7638
460	6522	7626
461	6537	7613
462	6550	7597
463	6563	7581
464	6576	7566
465	6590	7552
466	6603	7536
467	6616	7521
468	6628	7505
469	6641	7489
470	6654	7474
471	6669	7461
472	6683	7446
473	6695	7429
474	6709	7415
475	6724	7402
476	6737	7387
477	6753	7375
478	6767	7361
479	6781	7346
480	6793	7329
481	6806	7314
482	6819	7299
483	6832	7284
484	6845	7268
485	6858	7254
486	6872	7238
487	6887	7225
488	6901	7211
489	6914	7196
490	6926	7180
491	6940	7166
492	6953	7151
