iter	Passed	Remaining
406	5446	7935
407	5458	7919
408	5461	7892
409	5474	7878
410	5487	7863
411	5500	7850
412	5513	7836
413	5525	7821
414	5538	7807
415	5551	7793
416	5565	7781
417	5578	7767
418	5592	7754
419	5604	7740
420	5617	7726
421	5631	7713
422	5644	7699
423	5657	7685
424	5668	7669
425	5681	7655
426	5688	7632
427	5701	7620
428	5715	7606
429	5727	7592
430	5741	7580
431	5754	7566
432	5767	7552
433	5780	7538
434	5819	7558
435	5833	7546
436	5847	7532
437	5855	7512
438	5895	7533
439	5909	7521
440	5921	7505
441	5934	7491
442	5948	7478
443	5955	7457
444	5967	7442
445	5981	7430
446	6003	7427
447	6016	7412
448	6023	7391
449	6029	7369
450	6036	7348
451	6049	7333
452	6062	7320
453	6076	7307
454	6089	7293
455	6101	7278
456	6126	7279
457	6140	7267
458	6153	7253
459	6168	7241
460	6182	7228
461	6195	7214
462	6208	7200
463	6221	7187
464	6233	7172
465	6244	7155
466	6257	7141
467	6270	7127
468	6282	7113
469	6296	7099
470	6303	7079
471	6316	7065
472	6323	7045
473	6336	7031
474	6344	7012
475	6355	6996
476	6369	6983
477	6383	6971
478	6396	6957
479	6406	6940
480	6409	6915
481	6423	6903
482	6436	6889
483	6442	6868
484	6455	6854
485	6460	6832
486	6471	6816
487	6484	6803
488	6496	6789
489	6507	6773
490	6521	6760
491	6534	6747
492	6548	6734
493	6560	6720
494	6572	6705
495	6586	6692
496	6601	6680
497	6606	6659
498	6618	6645
499	6625	6625
500	6638	6611
501	6651	6598
502	6665	6585
503	6677	6571
504	6690	6558
505	6703	6544
506	6717	6532
507	6731	6519
508	6745	6506
509	6758	6493
510	6771	6480
511	6784	6466
512	6797	6452
513	6809	6438
514	6822	6425
515	6836	6412
516	6849	6398
517	6862	6385
518	6874	6371
519	6887	6357
520	6900	6344
521	6914	6331
522	6925	6316
523	6939	6304
524	6956	6294
525	6971	6282
526	6986	6271
527	7008	6265
528	7021	6251
529	7034	6238
530	7048	6225
531	7062	6212
532	7075	6199
533	7087	6185
534	7100	6171
535	7114	6158
536	7129	6146
537	7134	6126
538	7143	6109
539	7157	6096
540	7170	6083
541	7184	6070
542	7198	6057
543	7211	6044
544	7224	6031
545	7236	6016
546	7243	5998
547	7253	5982
548	7263	5966
549	7267	5946
550	7274	5927
551	7286	5913
552	7298	5899
553	7313	5887
554	7324	5873
555	7338	5859
556	7351	5846
557	7365	5834
558	7379	5821
559	7392	5808
560	7396	5788
561	7410	5775
562	7423	5762
563	7436	5748
564	7448	5734
565	7462	5721
566	7475	5708
567	7488	5695
568	7500	5681
569	7514	5668
570	7527	5655
571	7540	5642
572	7556	5630
573	7570	5618
574	7573	5597
575	7586	5584
576	7598	5570
577	7611	5556
578	7625	5544
579	7638	5531
580	7676	5535
581	7695	5527
582	7709	5514
583	7720	5499
584	7735	5487
585	7748	5473
586	7759	5459
587	7772	5446
588	7785	5432
589	7800	5421
590	7813	5407
591	7826	5394
592	7835	5378
593	7848	5364
594	7859	5349
595	7872	5336
596	7885	5322
597	7898	5309
598	7910	5295
599	7925	5283
600	7939	5270
601	7947	5254
602	7950	5234
603	7963	5221
604	7977	5208
605	7990	5195
606	8003	5181
607	8008	5163
608	8026	5153
609	8042	5141
610	8055	5128
611	8068	5115
612	8082	5102
613	8095	5089
614	8107	5075
615	8122	5063
616	8130	5047
617	8143	5033
618	8155	5019
619	8168	5006
620	8179	4991
621	8185	4974
622	8198	4961
623	8212	4948
624	8224	4934
625	8237	4921
626	8251	4908
627	8264	4895
628	8278	4882
629	8292	4870
630	8304	4856
631	8318	4843
632	8334	4832
633	8349	4820
634	8363	4807
635	8377	4794
636	8389	4780
637	8398	4765
638	8412	4752
639	8425	4739
640	8438	4725
641	8450	4712
642	8462	4698
643	8476	4685
644	8488	4672
645	8500	4658
646	8514	4645
647	8528	4632
648	8542	4620
649	8556	4607
650	8570	4594
651	8582	4580
652	8595	4567
653	8609	4554
654	8614	4537
655	8627	4524
656	8640	4511
657	8649	4495
658	8662	4482
659	8668	4465
660	8681	4452
661	8695	4439
662	8707	4425
663	8720	4412
664	8732	4399
665	8745	4385
666	8758	4372
667	8771	4359
668	8784	4346
669	8796	4332
670	8810	4319
671	8832	4311
672	8846	4298
673	8859	4285
674	8872	4271
675	8888	4260
676	8897	4244
677	8910	4231
678	8922	4218
679	8936	4205
680	8949	4192
681	8962	4179
682	8975	4165
683	8989	4152
684	9002	4140
685	9016	4127
686	9030	4114
687	9044	4101
688	9051	4085
689	9064	4072
690	9077	4059
691	9085	4043
692	9089	4026
693	9102	4013
694	9117	4001
695	9125	3986
696	9139	3972
697	9143	3956
698	9155	3942
699	9161	3926
700	9174	3913
701	9179	3896
702	9192	3883
703	9197	3867
704	9207	3852
705	9221	3839
706	9234	3826
707	9247	3813
708	9253	3797
709	9267	3785
710	9280	3772
711	9292	3758
712	9305	3745
713	9318	3732
714	9331	3719
715	9345	3706
716	9357	3693
717	9370	3680
718	9384	3667
719	9397	3654
720	9411	3641
721	9418	3626
722	9432	3613
723	9446	3601
724	9459	3588
725	9471	3574
726	9484	3561
727	9490	3545
728	9503	3533
729	9517	3520
730	9531	3507
731	9557	3499
732	9576	3488
733	9589	3475
734	9602	3462
735	9615	3449
736	9630	3436
737	9644	3423
738	9650	3408
739	9665	3395
740	9712	3394
741	9728	3382
742	9741	3369
743	9754	3356
744	9766	3342
745	9779	3329
746	9792	3316
747	9801	3301
748	9813	3288
749	9827	3275
750	9842	3263
751	9856	3250
752	9869	3237
753	9874	3221
754	9887	3208
755	9899	3195
756	9912	3182
757	9921	3167
758	9934	3154
759	9946	3141
760	9959	3127
761	9973	3115
762	9988	3102
763	10001	3089
764	10014	3076
765	10039	3066
766	10053	3054
767	10066	3040
768	10078	3027
769	10092	3014
770	10105	3001
771	10119	2988
772	10131	2975
773	10144	2962
774	10158	2949
775	10164	2934
776	10169	2918
777	10181	2905
778	10195	2892
779	10200	2877
780	10212	2863
781	10217	2848
782	10229	2834
783	10244	2822
784	10284	2816
785	10293	2802
786	10306	2789
787	10319	2776
788	10332	2763
789	10345	2749
790	10358	2736
791	10371	2723
792	10385	2710
793	10398	2697
794	10413	2685
795	10427	2672
796	10440	2659
797	10453	2646
798	10460	2631
799	10471	2617
800	10484	2604
801	10497	2591
802	10510	2578
803	10522	2565
804	10535	2552
805	10548	2539
806	10562	2525
807	10570	2511
808	10585	2499
809	10599	2486
810	10613	2473
811	10618	2458
812	10622	2443
813	10635	2430
814	10648	2417
815	10662	2404
816	10676	2391
817	10681	2376
818	10693	2363
819	10706	2350
820	10719	2337
821	10732	2324
822	10745	2311
823	10759	2298
824	10771	2284
825	10785	2272
826	10798	2258
827	10817	2247
828	10830	2234
829	10843	2220
830	10856	2207
831	10868	2194
832	10876	2180
833	10888	2167
834	10900	2153
835	10912	2140
836	10926	2127
837	10939	2114
838	10951	2101
839	10981	2091
840	10997	2079
841	11010	2066
842	11015	2051
843	11039	2040
844	11053	2027
845	11065	2014
846	11078	2001
847	11092	1988
848	11105	1975
849	11118	1962
850	11122	1947
851	11135	1934
852	11147	1921
853	11159	1907
854	11173	1894
855	11187	1882
856	11201	1869
857	11216	1856
858	11230	1843
859	11239	1829
860	11251	1816
861	11263	1803
862	11277	1790
863	11290	1777
864	11299	1763
865	11311	1750
866	11324	1737
867	11337	1724
868	11350	1711
869	11359	1697
870	11373	1684
871	11386	1671
872	11401	1658
873	11414	1645
874	11429	1632
875	11442	1619
876	11456	1606
877	11469	1593
878	11482	1580
879	11495	1567
880	11508	1554
881	11522	1541
882	11535	1528
883	11547	1515
884	11560	1502
885	11575	1489
886	11584	1475
887	11596	1462
888	11610	1449
889	11625	1436
890	11638	1423
891	11652	1410
892	11664	1397
893	11678	1384
894	11690	1371
895	11703	1358
896	11716	1345
897	11729	1332
898	11741	1319
899	11754	1306
900	11768	1293
901	11782	1280
902	11798	1267
903	11812	1254
904	11825	1241
905	11838	1228
906	11852	1215
907	11881	1203
908	11888	1190
909	11901	1177
910	11916	1164
911	11929	1151
912	11942	1137
913	11950	1124
914	11963	1111
915	11977	1098
916	12015	1087
917	12029	1074
918	12050	1062
919	12064	1049
920	12078	1036
921	12085	1022
922	12098	1009
923	12111	996
924	12123	983
925	12135	969
926	12148	956
927	12161	943
928	12175	930
929	12189	917
930	12202	904
931	12216	891
932	12229	878
933	12242	865
934	12255	851
935	12268	838
936	12280	825
937	12293	812
938	12307	799
939	12320	786
940	12332	773
941	12347	760
942	12360	747
943	12373	734
944	12388	721
945	12402	707
946	12415	694
947	12430	681
948	12444	668
949	12457	655
950	12469	642
951	12482	629
952	12494	616
953	12508	603
954	12521	589
955	12533	576
956	12545	563
957	12558	550
958	12574	537
959	12588	524
960	12602	511
961	12617	498
962	12630	485
963	12635	471
964	12647	458
965	12660	445
966	12674	432
967	12687	419
968	12700	406
969	12712	393
970	12725	380
971	12738	366
972	12752	353
973	12765	340
974	12777	327
975	12792	314
976	12800	301
977	12813	288
978	12836	275
979	12848	262
980	12861	249
981	12874	235
982	12887	222
983	12900	209
984	12913	196
985	12926	183
986	12940	170
987	12954	157
988	12968	144
989	12983	131
990	12996	118
991	13009	104
992	13023	91
993	13037	78
994	13051	65
995	13077	52
996	13102	39
997	13116	26
998	13129	13
999	13141	0
