iter	Passed	Remaining
0	8	8615
1	19	9916
2	32	10914
3	41	10232
4	55	11110
5	73	12103
6	117	16704
7	133	16573
8	148	16307
9	161	16017
10	174	15680
11	187	15453
12	198	15071
13	204	14402
14	216	14247
15	229	14139
16	242	14027
17	257	14021
18	268	13880
19	281	13778
20	295	13779
21	306	13608
22	319	13569
23	333	13545
24	354	13808
25	370	13860
26	380	13722
27	391	13600
28	403	13519
29	417	13488
30	430	13467
31	443	13415
32	457	13416
33	470	13359
34	482	13291
35	487	13062
36	502	13070
37	515	13058
38	528	13026
39	543	13043
40	557	13028
41	569	12991
42	581	12937
43	594	12925
44	607	12902
45	614	12737
46	627	12715
47	639	12691
48	653	12682
49	667	12689
50	680	12669
51	694	12656
52	708	12657
53	722	12648
54	728	12513
55	737	12425
56	750	12422
57	760	12358
58	766	12222
59	772	12105
60	779	11994
61	784	11864
62	797	11858
63	809	11833
64	822	11828
65	835	11817
66	843	11741
67	848	11634
68	860	11617
69	874	11614
70	888	11625
71	893	11511
72	906	11508
73	918	11493
74	923	11384
75	935	11377
76	948	11370
77	961	11360
78	973	11345
79	985	11335
80	999	11336
81	1011	11326
82	1023	11312
83	1027	11207
84	1040	11197
85	1052	11190
86	1062	11147
87	1072	11112
88	1087	11127
89	1100	11129
90	1148	11475
91	1164	11491
92	1193	11635
93	1205	11615
94	1218	11608
95	1231	11594
96	1239	11534
97	1246	11470
98	1259	11461
99	1271	11442
100	1284	11433
101	1298	11432
102	1309	11404
103	1321	11387
104	1326	11308
105	1339	11295
106	1345	11230
107	1359	11226
108	1367	11181
109	1380	11168
110	1395	11175
111	1411	11189
112	1424	11180
113	1435	11157
114	1450	11165
115	1456	11096
116	1473	11117
117	1488	11123
118	1502	11120
119	1508	11065
120	1522	11056
121	1534	11044
122	1546	11029
123	1549	10949
124	1558	10908
125	1571	10899
126	1585	10896
127	1597	10884
128	1608	10863
129	1623	10865
130	1636	10858
131	1650	10855
132	1663	10847
133	1671	10800
134	1684	10793
135	1696	10780
136	1709	10766
137	1721	10755
138	1726	10694
139	1739	10684
140	1752	10677
141	1764	10663
142	1776	10645
143	1788	10631
144	1800	10617
145	1815	10616
146	1826	10598
147	1833	10554
148	1844	10536
149	1856	10521
150	1870	10516
151	1886	10522
152	1898	10510
153	1910	10495
154	1922	10481
155	1928	10431
156	1940	10419
157	1952	10405
158	1962	10381
159	1975	10368
160	1988	10362
161	2000	10350
162	2014	10344
163	2027	10336
164	2038	10318
165	2052	10309
166	2065	10300
167	2077	10287
168	2088	10270
169	2116	10334
170	2130	10327
171	2146	10334
172	2190	10469
173	2209	10488
174	2222	10477
175	2237	10477
176	2251	10470
177	2256	10421
178	2271	10418
179	2284	10407
180	2297	10395
181	2305	10361
182	2315	10338
183	2328	10327
184	2334	10284
185	2357	10316
186	2371	10310
187	2385	10305
188	2399	10296
189	2417	10304
190	2435	10316
191	2448	10303
192	2461	10291
193	2473	10277
194	2485	10259
195	2490	10214
196	2502	10200
197	2514	10185
198	2526	10169
199	2538	10153
200	2551	10141
201	2562	10123
202	2573	10102
203	2586	10091
204	2597	10075
205	2610	10063
206	2625	10057
207	2638	10045
208	2652	10039
209	2665	10025
210	2677	10012
211	2690	9999
212	2693	9951
213	2705	9937
214	2718	9924
215	2723	9883
216	2735	9870
217	2747	9854
218	2760	9843
219	2774	9835
220	2780	9801
221	2792	9787
222	2808	9784
223	2821	9776
224	2834	9764
225	2843	9737
226	2856	9725
227	2869	9717
228	2883	9707
229	2889	9673
230	2894	9635
231	2904	9616
232	2911	9582
233	2923	9569
234	2936	9559
235	2947	9543
236	2960	9530
237	2974	9523
238	2981	9492
239	2993	9478
240	3007	9470
241	3023	9469
242	3086	9615
243	3093	9585
244	3100	9554
245	3117	9555
246	3130	9543
247	3146	9542
248	3160	9530
249	3172	9517
250	3195	9535
251	3248	9641
252	3264	9637
253	3279	9631
254	3300	9644
255	3323	9659
256	3337	9649
257	3349	9633
258	3361	9617
259	3374	9605
260	3386	9587
261	3398	9572
262	3413	9566
263	3426	9553
264	3439	9539
265	3444	9504
266	3457	9492
267	3470	9479
268	3483	9465
269	3495	9451
270	3508	9437
271	3519	9421
272	3532	9407
273	3545	9395
274	3558	9382
275	3573	9373
276	3585	9358
277	3597	9343
278	3611	9333
279	3625	9323
280	3640	9313
281	3644	9280
282	3658	9269
283	3671	9256
284	3683	9241
285	3696	9227
286	3709	9216
287	3722	9203
288	3729	9174
289	3741	9160
290	3754	9146
291	3765	9130
292	3779	9119
293	3786	9092
294	3800	9082
295	3813	9069
296	3826	9058
297	3842	9051
298	3855	9038
299	3859	9006
300	3864	8974
301	3876	8960
302	3891	8950
303	3905	8940
304	3918	8929
305	3931	8916
306	3943	8901
307	3956	8889
308	3970	8879
309	3983	8867
310	3997	8856
311	4011	8844
312	4024	8833
313	4037	8821
314	4051	8809
315	4063	8795
316	4075	8780
317	4084	8759
318	4096	8745
319	4108	8731
320	4121	8718
321	4134	8706
322	4147	8693
323	4154	8667
324	4166	8654
325	4180	8643
326	4193	8630
327	4205	8616
328	4220	8607
329	4234	8598
330	4256	8602
331	4303	8658
332	4320	8654
333	4334	8642
334	4347	8629
335	4360	8616
336	4373	8603
337	4386	8591
338	4402	8583
339	4416	8572
340	4429	8560
341	4443	8549
342	4458	8539
343	4470	8525
344	4483	8512
345	4496	8498
346	4508	8483
347	4521	8470
348	4535	8460
349	4548	8447
350	4562	8435
351	4576	8424
352	4588	8409
353	4602	8398
354	4616	8386
355	4629	8375
356	4642	8362
357	4655	8348
358	4667	8333
359	4680	8320
360	4693	8307
361	4705	8293
362	4717	8279
363	4730	8266
364	4743	8253
365	4757	8240
366	4771	8230
367	4784	8217
368	4799	8207
369	4813	8196
370	4827	8184
371	4840	8171
372	4854	8159
373	4866	8145
374	4879	8132
375	4892	8119
376	4906	8107
377	4918	8093
378	4931	8079
379	4944	8067
380	4958	8056
381	4971	8043
382	4987	8034
383	5000	8022
384	5014	8009
385	5029	7999
386	5043	7988
387	5056	7975
388	5069	7961
389	5080	7946
390	5094	7934
391	5107	7922
392	5120	7908
393	5132	7894
394	5145	7880
395	5158	7868
396	5171	7855
397	5186	7845
398	5200	7832
399	5213	7820
400	5226	7807
401	5239	7793
402	5252	7780
403	5266	7768
404	5277	7754
405	5296	7748
406	5434	7918
407	5457	7918
408	5475	7912
409	5491	7902
410	5505	7889
411	5519	7877
412	5535	7867
413	5547	7852
414	5559	7836
415	5572	7822
416	5584	7807
417	5597	7793
418	5608	7777
419	5623	7765
420	5637	7752
421	5650	7739
422	5665	7728
423	5680	7717
424	5693	7703
425	5705	7688
426	5718	7673
427	5732	7661
428	5745	7647
429	5757	7632
430	5770	7617
431	5783	7603
432	5796	7590
433	5809	7576
434	5822	7562
435	5836	7549
436	5851	7538
437	5865	7525
438	5879	7513
439	5893	7500
440	5907	7488
441	5920	7473
442	5933	7459
443	5946	7446
444	5959	7432
445	5972	7418
446	5984	7404
447	5998	7390
448	6012	7377
449	6026	7365
450	6042	7355
451	6055	7341
452	6068	7327
453	6081	7313
454	6095	7300
455	6108	7287
456	6121	7273
457	6133	7258
458	6146	7244
459	6159	7231
460	6173	7217
461	6184	7202
462	6197	7187
463	6209	7173
464	6223	7160
465	6236	7146
466	6250	7133
467	6264	7120
468	6278	7108
469	6291	7094
470	6305	7081
471	6317	7067
472	6330	7052
473	6342	7038
474	6355	7024
475	6368	7010
476	6380	6995
477	6393	6982
478	6407	6969
479	6422	6957
480	6439	6947
481	6492	6977
482	6508	6966
483	6522	6953
484	6535	6939
485	6547	6924
486	6560	6910
487	6573	6897
488	6586	6883
489	6599	6868
490	6611	6853
491	6625	6840
492	6638	6827
493	6653	6815
494	6667	6802
495	6682	6790
496	6694	6775
497	6707	6761
498	6721	6747
499	6733	6733
500	6746	6719
501	6759	6705
502	6772	6691
503	6786	6678
504	6798	6664
505	6811	6650
506	6824	6636
507	6839	6624
508	6853	6611
509	6867	6598
510	6881	6584
511	6893	6570
512	6906	6556
513	6918	6542
514	6931	6527
515	6943	6513
516	6955	6498
517	6969	6484
518	6982	6471
519	6995	6456
520	7008	6443
521	7021	6429
522	7035	6416
523	7048	6403
524	7063	6391
525	7078	6378
526	7092	6365
527	7104	6350
528	7116	6336
529	7129	6322
530	7143	6309
531	7156	6295
532	7168	6280
533	7181	6266
534	7195	6253
535	7209	6240
536	7223	6227
537	7236	6214
538	7250	6201
539	7265	6188
540	7277	6174
541	7290	6160
542	7305	6148
543	7319	6135
544	7331	6120
545	7344	6106
546	7357	6093
547	7370	6079
548	7382	6064
549	7396	6051
550	7411	6039
551	7424	6025
552	7438	6012
553	7453	6000
554	7466	5986
555	7480	5973
556	7497	5963
557	7546	5977
558	7568	5970
559	7584	5959
560	7595	5943
561	7611	5931
562	7626	5919
563	7639	5905
564	7653	5892
565	7665	5877
566	7677	5862
567	7689	5848
568	7702	5834
