iter	Logloss	Accuracy
0	0.6747012483	0.81
1	0.6577240183	0.81
2	0.6414793896	0.80875
3	0.6264126975	0.80875
4	0.6123308125	0.815
5	0.5995942553	0.815
6	0.5882008661	0.815
7	0.5799672634	0.8075
8	0.5691237513	0.8075
9	0.5591153711	0.815
10	0.5503010449	0.81
11	0.5437326558	0.8125
12	0.5363435143	0.81125
13	0.5297486628	0.81125
14	0.5232543653	0.81375
15	0.5164093523	0.81125
16	0.5124729169	0.81375
17	0.5061336473	0.81375
18	0.499588974	0.815
19	0.4943898621	0.8075
20	0.4876170475	0.81125
21	0.4844662376	0.8075
22	0.4818355035	0.80875
23	0.4789882557	0.8075
24	0.4756672898	0.80875
25	0.4692098906	0.8075
26	0.4655571649	0.81
27	0.4619080016	0.81
28	0.4589757219	0.8075
29	0.455400782	0.80875
30	0.450554851	0.81125
31	0.4476369294	0.8125
32	0.4444519043	0.8125
33	0.442562133	0.8125
34	0.4409214293	0.8125
35	0.4401063877	0.8125
36	0.4383734146	0.81375
37	0.4372400415	0.81375
38	0.4360607658	0.81375
39	0.4344359458	0.8125
40	0.4321707129	0.8125
41	0.4310761821	0.8125
42	0.429832036	0.81375
43	0.4276892498	0.81375
44	0.4261141401	0.81375
45	0.425510743	0.81375
46	0.4249116893	0.81375
47	0.4235086627	0.815
48	0.4222092043	0.81375
49	0.4199935466	0.81625
50	0.4190786018	0.81625
51	0.4179125574	0.81625
52	0.4168717358	0.8175
53	0.4154681132	0.8175
54	0.4151727475	0.8175
55	0.414984575	0.8175
56	0.4132991718	0.82
57	0.4131212938	0.82
58	0.4129298738	0.82125
59	0.4126817175	0.82125
60	0.4125854486	0.82125
61	0.4125015307	0.82125
62	0.4110809049	0.82125
63	0.4088542125	0.82375
64	0.4077339426	0.825
65	0.4062975233	0.82375
66	0.406153288	0.82375
67	0.4061306294	0.8225
68	0.4048023505	0.8225
69	0.4041704677	0.825
70	0.4039049152	0.82375
71	0.4038862797	0.82375
72	0.4036041985	0.825
73	0.4032654998	0.82375
74	0.403194782	0.82375
75	0.4023888276	0.82625
76	0.4013579995	0.82625
77	0.4010064106	0.82875
78	0.4005019313	0.82625
79	0.3997798574	0.82375
80	0.3992319765	0.825
81	0.3984669911	0.82625
82	0.3975386079	0.82625
83	0.3975308675	0.82625
84	0.3969407608	0.8275
85	0.3965513964	0.8275
86	0.3964260034	0.82625
87	0.3963158663	0.82625
88	0.3960274233	0.82625
89	0.3953364935	0.82625
90	0.3949028417	0.8275
91	0.3945392912	0.83
92	0.3943854564	0.83125
93	0.3932649857	0.83
94	0.3924494928	0.83125
95	0.3918833083	0.8325
96	0.3917129766	0.8325
97	0.3916148821	0.8325
98	0.3914232846	0.83125
99	0.3903419235	0.83125
100	0.3899081888	0.83
101	0.3888625288	0.83
102	0.388539549	0.8325
103	0.3877220982	0.83625
104	0.3877024754	0.835
105	0.3865429678	0.83625
106	0.386534342	0.83625
107	0.3860939102	0.8375
108	0.3859360839	0.8375
109	0.3855892878	0.83875
110	0.3853060776	0.83875
111	0.3846402602	0.83875
112	0.3841661628	0.8375
113	0.3838494492	0.84
114	0.3828944972	0.84
115	0.3828934928	0.84
116	0.3823667652	0.84
117	0.3821817749	0.84
118	0.3816737117	0.8425
119	0.3816171064	0.8425
120	0.3809538844	0.8425
121	0.3806361306	0.8425
122	0.3799398446	0.84375
123	0.3799393439	0.84375
124	0.379897738	0.84375
125	0.3789671879	0.8425
126	0.3787590057	0.8425
127	0.3785639198	0.8425
128	0.3784946322	0.8425
129	0.3781951904	0.8425
130	0.3773681145	0.8425
131	0.3768541711	0.84375
132	0.3766687038	0.845
133	0.376532248	0.845
134	0.3760346969	0.845
135	0.3757674086	0.84625
136	0.3753397454	0.84625
137	0.3745491885	0.84625
138	0.3745470913	0.84625
139	0.3742620336	0.8475
140	0.3736484071	0.84625
141	0.373360446	0.84625
142	0.373093804	0.84875
143	0.3724413984	0.8475
144	0.3721614175	0.84625
145	0.3719023426	0.8475
146	0.3716717407	0.8475
147	0.3715655538	0.84625
148	0.3712430437	0.84625
149	0.3710097236	0.8475
150	0.3706488179	0.85
151	0.3703469407	0.85
152	0.3699806446	0.85
153	0.3695721427	0.85125
154	0.36912188	0.85125
155	0.3691201141	0.85125
156	0.3688960484	0.85125
157	0.3686107907	0.85125
158	0.3684448215	0.8525
159	0.368249216	0.8525
160	0.3672846197	0.85125
161	0.3671439661	0.85
162	0.3666387652	0.85
163	0.3663130778	0.85125
164	0.3662606303	0.85125
165	0.3659034949	0.8525
166	0.3657958396	0.85125
167	0.3656024257	0.85125
168	0.3655021706	0.85125
169	0.3648804491	0.85125
170	0.3645776864	0.8525
171	0.364298067	0.85375
172	0.3640643364	0.85375
173	0.3633257624	0.85375
174	0.3632171882	0.85375
175	0.3630533018	0.85375
176	0.3627763211	0.85375
177	0.3627501591	0.85375
178	0.3626431381	0.85375
179	0.3623027758	0.8525
180	0.3618349632	0.8525
181	0.3617884936	0.85375
182	0.3617162462	0.85375
183	0.3615118946	0.85375
184	0.3615043245	0.85375
185	0.3614657049	0.85375
186	0.3610657352	0.8575
187	0.3606945463	0.85875
188	0.3604417684	0.86
189	0.3600195724	0.85875
190	0.359960332	0.86
191	0.3594185077	0.85875
192	0.3592950047	0.8575
193	0.3592452466	0.85875
194	0.3590195247	0.8575
195	0.3590185601	0.8575
196	0.3578801172	0.86
197	0.3574970535	0.86125
198	0.3570230541	0.86125
199	0.3568721982	0.8625
200	0.3565104981	0.8625
201	0.3563285943	0.8625
202	0.3562910587	0.8625
203	0.3560663922	0.8625
204	0.3554163379	0.86625
205	0.3545546109	0.86625
206	0.3543589472	0.86625
207	0.3543227817	0.8675
208	0.3541690642	0.8675
209	0.3538075399	0.86625
210	0.3534864482	0.8675
211	0.3530007734	0.8675
212	0.3530007623	0.8675
213	0.3528273917	0.8675
214	0.352317809	0.8675
215	0.3522733594	0.8675
216	0.352011372	0.86875
217	0.3518938817	0.86875
218	0.3514906495	0.8675
219	0.351327215	0.8675
220	0.3513026389	0.8675
221	0.3511784713	0.86875
222	0.3510748144	0.86625
223	0.3509522269	0.8675
224	0.3507190073	0.8675
225	0.3507050575	0.8675
226	0.3504466834	0.8675
227	0.3501911992	0.86625
228	0.3499843693	0.8675
229	0.3499778304	0.8675
230	0.3499547812	0.8675
231	0.3499158613	0.8675
232	0.34990955	0.8675
233	0.3491085286	0.86875
234	0.3489697866	0.86875
235	0.3489374041	0.86875
236	0.3488400125	0.86875
237	0.3486488103	0.87125
238	0.3483738851	0.87125
239	0.3480782991	0.87
240	0.3479148093	0.87125
241	0.3478240548	0.87
242	0.347252339	0.87
243	0.3472306684	0.87
244	0.3472029785	0.87
245	0.3469233655	0.87
246	0.3466161019	0.87
247	0.346219549	0.87
248	0.3460537858	0.87
249	0.3459259552	0.87
