iter	Passed	Remaining
0	15	15704
1	31	15962
2	46	15394
3	59	14770
4	76	15172
5	85	14171
6	94	13342
7	109	13599
8	147	16211
9	161	15981
10	172	15501
11	185	15236
12	199	15147
13	213	15011
14	226	14899
15	239	14708
16	251	14530
17	256	13997
18	268	13839
19	282	13862
20	296	13808
21	300	13367
22	313	13319
23	326	13280
24	339	13257
25	354	13267
26	369	13299
27	381	13237
28	393	13188
29	407	13185
30	421	13172
31	435	13171
32	447	13124
33	461	13100
34	474	13094
35	479	12848
36	493	12834
37	505	12806
38	519	12794
39	531	12747
40	545	12757
41	558	12738
42	577	12859
43	598	13012
44	780	16567
45	794	16480
46	920	18670
47	934	18524
48	948	18417
49	962	18284
50	978	18214
51	995	18144
52	1007	18006
53	1019	17860
54	1032	17738
55	1045	17628
56	1057	17490
57	1069	17363
58	1081	17250
59	1094	17148
60	1106	17033
61	1119	16930
62	1132	16839
63	1138	16654
64	1143	16455
65	1151	16298
66	1164	16216
67	1178	16157
68	1190	16062
69	1203	15986
70	1217	15934
71	1232	15883
72	1246	15826
73	1250	15653
74	1263	15584
75	1276	15516
76	1289	15453
77	1301	15387
78	1314	15328
79	1319	15173
80	1322	15010
81	1333	14923
82	1347	14883
83	1360	14833
84	1375	14803
85	1388	14761
86	1401	14705
87	1415	14669
88	1429	14630
89	1443	14596
90	1448	14467
91	1454	14354
92	1467	14312
93	1480	14267
94	1493	14223
95	1506	14182
96	1519	14144
97	1531	14098
98	1544	14059
99	1558	14026
100	1561	13900
101	1575	13871
102	1588	13832
103	1594	13740
104	1599	13637
105	1609	13572
106	1623	13549
107	1645	13590
108	1670	13653
109	1694	13711
110	1707	13675
111	1712	13576
112	1721	13511
113	1729	13445
114	1733	13338
115	1744	13297
116	1758	13269
117	1770	13236
118	1783	13204
119	1790	13130
120	1807	13127
121	1824	13127
122	1840	13120
123	1845	13038
124	1860	13020
125	1873	12992
126	1886	12968
127	1889	12870
128	1904	12861
129	1918	12836
130	2060	13668
131	2077	13664
132	2093	13644
133	2105	13609
134	2120	13587
135	2148	13649
136	2169	13665
137	2200	13746
138	2218	13739
139	2225	13669
140	2233	13606
141	2246	13573
142	2260	13544
143	2272	13507
144	2283	13467
145	2293	13412
146	2297	13331
147	2303	13260
148	2317	13234
149	2327	13191
150	2340	13159
151	2351	13119
152	2364	13087
153	2368	13012
154	2380	12979
155	2393	12950
156	2406	12921
157	2418	12889
158	2432	12863
159	2446	12843
160	2453	12787
161	2458	12718
162	2473	12701
163	2490	12696
164	2518	12743
165	2542	12775
166	2554	12743
167	2566	12708
168	2578	12678
169	2583	12612
170	2595	12580
171	2607	12550
172	2624	12544
173	2637	12522
174	2651	12501
175	2664	12472
176	2676	12446
177	2691	12429
178	2705	12407
179	2718	12384
180	2721	12313
181	2733	12287
182	2745	12258
183	2758	12232
184	2771	12207
185	2784	12183
186	2796	12155
187	2809	12133
188	2823	12114
189	2837	12095
190	2847	12059
191	2855	12017
192	2868	11994
193	2882	11974
194	2896	11957
195	2909	11935
196	2924	11920
197	2933	11883
198	2938	11827
199	2952	11809
200	2965	11788
201	2976	11757
202	2988	11732
203	3001	11710
204	3014	11689
205	3027	11667
206	3039	11643
207	3053	11626
208	3084	11672
209	3327	12517
210	3344	12504
211	3359	12488
212	3372	12459
213	3388	12444
214	3410	12452
215	3425	12434
216	3444	12427
217	3449	12374
218	3466	12362
219	3479	12337
220	3493	12314
221	3505	12284
222	3517	12256
223	3531	12233
224	3536	12179
225	3548	12153
226	3574	12172
227	3592	12164
228	3627	12211
229	3639	12185
230	3651	12156
231	3664	12130
232	3676	12102
233	3688	12075
234	3701	12048
235	3714	12025
236	3729	12005
237	3738	11969
238	3750	11941
239	3764	11921
240	3779	11902
241	3788	11867
242	3800	11840
243	3806	11792
244	3820	11773
245	3827	11731
246	3840	11707
247	3853	11683
248	3857	11635
249	3869	11609
250	3882	11586
251	3895	11563
252	3908	11539
253	3921	11517
254	3935	11498
255	3948	11474
256	3963	11457
257	3977	11438
258	3986	11406
259	4000	11386
260	4010	11355
261	4023	11334
262	4037	11313
263	4050	11291
264	4062	11268
265	4075	11247
266	4088	11224
267	4102	11204
268	4115	11183
269	4128	11163
270	4142	11142
271	4155	11122
272	4170	11106
273	4184	11086
274	4197	11065
275	4209	11042
276	4222	11021
277	4235	10999
278	4247	10977
279	4259	10953
280	4272	10932
281	4287	10916
282	4300	10896
283	4313	10875
284	4336	10878
285	4359	10883
286	4528	11249
287	4540	11224
288	4555	11207
289	4569	11186
290	4584	11169
291	4599	11153
292	4619	11145
293	4634	11128
294	4649	11112
295	4663	11092
296	4677	11072
297	4690	11049
298	4703	11026
299	4727	11029
300	4737	11001
301	4749	10976
302	4761	10953
303	4776	10934
304	4789	10913
305	4802	10891
306	4815	10869
307	4829	10849
308	4843	10830
309	4855	10807
310	4867	10784
311	4880	10762
312	4893	10740
313	4906	10718
314	4917	10694
315	4938	10688
316	4950	10666
317	4977	10675
318	4998	10671
319	5025	10678
320	5038	10658
321	5052	10638
322	5065	10616
323	5078	10595
324	5091	10574
325	5103	10552
326	5115	10528
327	5129	10509
328	5142	10488
329	5157	10471
330	5172	10453
331	5185	10434
332	5197	10410
333	5210	10389
334	5223	10369
335	5236	10348
336	5250	10328
337	5262	10306
338	5276	10288
339	5289	10268
340	5302	10246
341	5315	10226
342	5328	10206
343	5342	10187
344	5357	10171
345	5372	10154
346	5387	10138
347	5402	10122
348	5416	10102
349	5428	10080
350	5440	10060
351	5454	10041
352	5468	10022
353	5481	10003
354	5493	9981
355	5506	9961
356	5522	9946
357	5657	10145
358	5796	10350
359	5812	10334
360	5827	10315
361	5839	10292
362	5855	10275
363	5872	10260
364	5975	10396
365	5998	10391
366	6011	10368
367	6023	10343
368	6035	10320
369	6048	10298
370	6061	10277
371	6074	10254
372	6088	10234
373	6102	10213
374	6115	10193
375	6129	10171
376	6155	10171
377	6167	10149
378	6180	10126
379	6194	10107
380	6208	10086
381	6221	10064
382	6249	10067
383	6264	10048
384	6277	10027
385	6290	10006
386	6303	9984
387	6319	9967
388	6333	9948
389	6348	9929
390	6361	9907
391	6375	9888
392	6389	9869
