iter	Passed	Remaining
0	9	9879
1	22	11154
2	35	11836
3	48	12069
4	59	11856
5	71	11893
6	80	11388
7	93	11587
8	108	11933
9	119	11793
10	131	11826
11	146	12028
12	160	12171
13	172	12119
14	182	11983
15	195	12036
16	210	12195
17	224	12239
18	237	12263
19	250	12270
20	263	12305
21	277	12343
22	289	12308
23	304	12387
24	314	12282
25	332	12473
26	346	12504
27	360	12511
28	373	12514
29	387	12541
30	395	12352
31	407	12338
32	420	12334
33	442	12559
34	460	12698
35	571	15300
36	585	15230
37	598	15148
38	623	15352
39	648	15561
40	682	15961
41	696	15897
42	709	15795
43	723	15712
44	736	15624
45	749	15535
46	762	15459
47	774	15362
48	788	15305
49	801	15222
50	847	15764
51	853	15567
52	869	15541
53	882	15453
54	893	15360
55	905	15271
56	918	15190
57	924	15010
58	935	14927
59	948	14857
60	962	14814
61	975	14757
62	987	14691
63	1002	14661
64	1017	14633
65	1031	14594
66	1040	14495
67	1053	14438
68	1066	14389
69	1079	14345
70	1094	14314
71	1108	14293
72	1119	14213
73	1131	14165
74	1134	13997
75	1148	13959
76	1151	13804
77	1166	13794
78	1182	13780
79	1196	13756
80	1209	13726
81	1222	13690
82	1232	13618
83	1240	13524
84	1253	13495
85	1265	13450
86	1274	13369
87	1276	13232
88	1290	13209
89	1305	13199
90	1318	13172
91	1323	13063
92	1336	13034
93	1346	12975
94	1359	12951
95	1368	12885
96	1381	12864
97	1395	12847
98	1405	12791
99	1418	12769
100	1432	12747
101	1445	12725
102	1458	12702
103	1461	12592
104	1474	12572
105	1481	12494
106	1494	12476
107	1508	12457
108	1521	12437
109	1534	12413
110	1547	12390
111	1556	12343
112	1572	12344
113	1696	13181
114	1819	14004
115	1834	13981
116	1851	13973
117	1867	13960
118	1887	13976
119	1899	13933
120	1908	13861
121	1921	13830
122	1935	13800
123	1948	13766
124	1960	13726
125	1964	13623
126	1966	13518
127	1979	13482
128	1990	13442
129	2003	13406
130	2013	13354
131	2025	13316
132	2037	13283
133	2051	13257
134	2056	13174
135	2071	13163
136	2094	13191
137	2107	13166
138	2121	13140
139	2134	13113
140	2143	13059
141	2155	13024
142	2160	12949
143	2173	12919
144	2187	12896
145	2200	12869
146	2207	12810
147	2213	12739
148	2219	12674
149	2221	12590
150	2227	12523
151	2239	12491
152	2253	12475
153	2268	12462
154	2278	12422
155	2293	12405
156	2307	12389
157	2319	12360
158	2324	12297
159	2331	12239
160	2345	12221
161	2359	12206
162	2373	12187
163	2381	12141
164	2396	12126
165	2405	12087
166	2421	12076
167	2451	12140
168	2480	12195
169	2493	12175
170	2496	12103
