iter	Passed	Remaining
0	11	11555
1	25	12705
2	44	14683
3	61	15263
4	74	14903
5	81	13503
6	86	12287
7	97	12056
8	110	12188
9	123	12261
10	130	11708
11	135	11128
12	148	11267
13	161	11362
14	176	11561
15	190	11709
16	195	11286
17	209	11403
18	222	11469
19	235	11521
20	247	11549
21	256	11405
22	269	11454
23	276	11229
24	289	11280
25	302	11331
26	314	11342
27	328	11396
28	335	11231
29	348	11271
30	361	11289
31	376	11396
32	391	11467
33	405	11508
34	409	11292
35	425	11396
36	439	11435
37	452	11464
38	465	11473
39	472	11334
40	486	11371
41	499	11402
42	511	11394
43	524	11395
44	538	11438
45	545	11320
46	558	11319
47	573	11371
48	587	11406
49	603	11465
50	617	11492
51	624	11376
52	636	11378
53	645	11315
54	658	11308
55	671	11317
56	684	11327
57	690	11219
58	701	11192
59	714	11197
60	727	11200
61	741	11218
62	754	11217
63	761	11134
64	771	11100
65	786	11126
66	817	11386
67	835	11454
68	859	11597
69	871	11582
70	884	11574
71	897	11569
72	910	11566
73	919	11500
74	931	11494
75	946	11501
76	964	11558
77	1146	13551
78	1162	13554
79	1176	13528
80	1194	13552
81	1202	13458
82	1213	13401
83	1227	13389
84	1241	13360
85	1253	13326
86	1265	13284
87	1278	13249
88	1292	13228
89	1305	13202
90	1318	13166
91	1331	13138
92	1346	13131
93	1360	13109
94	1373	13081
95	1386	13055
96	1400	13036
97	1413	13006
98	1425	12976
99	1439	12953
100	1445	12868
101	1458	12839
102	1471	12811
103	1483	12781
104	1496	12752
105	1509	12729
106	1522	12705
107	1541	12728
108	1559	12746
109	1576	12753
110	1590	12735
111	1608	12756
112	1622	12738
113	1635	12711
114	1648	12684
115	1660	12655
116	1674	12633
117	1686	12607
118	1699	12583
119	1707	12524
120	1720	12499
121	1734	12485
122	1739	12402
123	1753	12384
124	1769	12384
125	1783	12371
126	1792	12320
127	1805	12301
128	1819	12284
129	1834	12278
130	1839	12203
131	1852	12183
132	1865	12162
133	1878	12138
134	1890	12110
135	1904	12096
136	1917	12078
137	1931	12063
138	1943	12040
139	1950	11980
140	1963	11960
141	1993	12043
142	2015	12079
143	2034	12096
144	2048	12077
145	2061	12056
146	2074	12040
147	2087	12016
148	2100	11996
149	2113	11975
150	2127	11963
151	2141	11950
152	2167	11997
153	2253	12381
154	2268	12366
155	2275	12309
156	2292	12308
157	2304	12279
158	2327	12309
159	2341	12295
160	2346	12228
161	2359	12204
162	2372	12181
163	2386	12165
164	2400	12145
165	2412	12122
166	2426	12101
167	2437	12069
168	2449	12043
169	2462	12022
170	2470	11974
171	2481	11947
172	2494	11926
173	2508	11907
174	2520	11884
175	2532	11858
176	2546	11842
177	2560	11822
178	2572	11799
179	2581	11759
180	2594	11741
181	2614	11748
182	2626	11726
183	2639	11705
184	2652	11685
185	2666	11670
186	2679	11648
187	2692	11629
188	2697	11573
189	2710	11553
190	2723	11534
191	2737	11522
192	2751	11503
193	2766	11494
194	2779	11475
195	2793	11457
196	2807	11444
197	2821	11427
198	2833	11407
199	2843	11374
200	2856	11355
201	2870	11338
202	2883	11319
203	2895	11296
204	2907	11277
205	2921	11258
206	2927	11215
207	2942	11204
208	2955	11185
209	2970	11174
210	2984	11160
211	2997	11143
212	3010	11122
213	3022	11101
214	3035	11083
215	3055	11089
216	3068	11071
217	3080	11050
218	3092	11028
219	3105	11010
220	3118	10992
221	3131	10973
222	3146	10961
223	3150	10915
224	3163	10897
225	3179	10887
226	3194	10878
227	3225	10922
228	3249	10940
229	3311	11087
230	3328	11081
231	3344	11070
232	3360	11063
233	3374	11047
234	3389	11033
235	3402	11013
236	3414	10993
237	3427	10973
238	3439	10952
239	3452	10931
240	3465	10913
241	3478	10894
242	3489	10871
243	3502	10852
244	3515	10834
245	3532	10826
246	3552	10829
247	3567	10816
248	3581	10800
249	3588	10764
250	3601	10746
251	3614	10730
252	3627	10711
253	3641	10694
254	3653	10673
255	3666	10654
256	3678	10636
257	3691	10617
258	3704	10598
259	3717	10580
260	3723	10543
261	3730	10507
262	3743	10490
263	3748	10450
264	3763	10439
265	3774	10414
266	3787	10396
267	3800	10379
268	3813	10363
269	3824	10340
270	3837	10324
271	3850	10304
272	3862	10287
273	3868	10249
274	3880	10230
275	3893	10214
276	3907	10198
277	3921	10184
278	3935	10170
279	3948	10153
280	3963	10141
281	3977	10126
282	3992	10115
283	4005	10098
284	4019	10083
285	4031	10063
286	4044	10047
287	4059	10035
288	4072	10020
289	4086	10003
290	4099	9987
291	4112	9972
292	4126	9956
293	4141	9944
294	4155	9930
295	4168	9914
296	4182	9898
297	4195	9882
298	4208	9867
299	4222	9852
300	4236	9837
301	4249	9821
302	4261	9803
303	4274	9786
304	4287	9769
305	4301	9755
306	4319	9750
307	4372	9824
308	4389	9815
309	4449	9903
310	4461	9885
311	4478	9876
312	4499	9875
313	4513	9860
314	4534	9861
315	4549	9846
316	4563	9832
317	4575	9813
318	4587	9793
319	4599	9774
320	4611	9754
321	4624	9737
322	4637	9719
323	4650	9702
324	4662	9684
325	4673	9661
326	4686	9644
327	4700	9630
328	4713	9613
329	4728	9599
330	4746	9592
331	4759	9576
332	4771	9557
333	4784	9539
334	4798	9524
335	4811	9508
336	4824	9492
337	4837	9473
338	4849	9456
339	4863	9440
340	4876	9424
341	4889	9406
342	4902	9390
343	4915	9374
344	4929	9359
345	4944	9345
346	4958	9331
347	4972	9316
348	4985	9299
349	4998	9282
350	5011	9266
351	5025	9251
352	5038	9235
353	5051	9218
354	5065	9202
355	5078	9186
356	5092	9172
