iter	Logloss	Accuracy
0	0.6756569861	0.8
1	0.6581479962	0.8
2	0.6423412282	0.79875
3	0.6278865224	0.79875
4	0.6149480211	0.79875
5	0.6046669245	0.79875
6	0.5977622284	0.8
7	0.5873599393	0.8025
8	0.5772026421	0.8025
9	0.5682220691	0.8025
10	0.5603048161	0.8025
11	0.5555302764	0.80125
12	0.5483513765	0.8025
13	0.5408445908	0.80125
14	0.5322118016	0.8025
15	0.526329595	0.8025
16	0.5230260749	0.8025
17	0.5173443953	0.8025
18	0.5122673117	0.8025
19	0.5073487134	0.8025
20	0.5023917512	0.8025
21	0.4999714111	0.8025
22	0.4965478912	0.80375
23	0.4945407441	0.80375
24	0.4893301113	0.80375
25	0.4846609229	0.80375
26	0.4812978785	0.80375
27	0.4773794243	0.80375
28	0.4759958532	0.80375
29	0.4726830249	0.80375
30	0.4686807873	0.805
31	0.4656686765	0.805
32	0.4629759251	0.805
33	0.4619416453	0.805
34	0.4610410559	0.805
35	0.4587977709	0.805
36	0.4576643335	0.805
37	0.4563142947	0.805
38	0.4533937399	0.805
39	0.4521188248	0.805
40	0.4486662182	0.805
41	0.4464503615	0.805
42	0.4449025323	0.805
43	0.4429824076	0.805
44	0.4410616393	0.805
45	0.4407945031	0.805
46	0.4392533394	0.805
47	0.4376203467	0.805
48	0.4363273682	0.805
49	0.4353644695	0.805
50	0.4347621166	0.805
51	0.4343813854	0.805
52	0.4334922309	0.805
53	0.4330195858	0.805
54	0.43203987	0.805
55	0.4301316035	0.8075
56	0.429575519	0.8075
57	0.4295005535	0.8075
58	0.4290677556	0.8075
59	0.4283636084	0.8075
60	0.4272535103	0.8075
61	0.4265135768	0.80875
62	0.4257684961	0.80875
63	0.425517003	0.80875
64	0.4253063805	0.80875
65	0.4245466999	0.81
66	0.4232649727	0.8125
67	0.4224479117	0.8125
68	0.4218603078	0.815
69	0.4211224734	0.81375
70	0.4207615155	0.81375
71	0.4203878384	0.81375
72	0.4196503656	0.815
73	0.4192093825	0.815
74	0.418872695	0.81375
75	0.4186406009	0.81375
76	0.4183407706	0.815
77	0.4172105405	0.815
78	0.4167657886	0.815
79	0.4157804351	0.815
80	0.4153858185	0.81625
81	0.4152630265	0.81625
82	0.4150609443	0.81625
83	0.4147219205	0.81625
84	0.4142925963	0.81625
85	0.4132559542	0.815
86	0.4124592227	0.815
87	0.4114792079	0.8175
88	0.4103342239	0.81875
89	0.4097662789	0.81875
90	0.4086493241	0.82125
91	0.4082612748	0.82125
92	0.4077184327	0.82
93	0.4072350279	0.82
94	0.4071217842	0.82
95	0.4064517937	0.82125
96	0.4055626347	0.82125
97	0.4049991091	0.82125
98	0.4048968902	0.82
99	0.4039422072	0.82
100	0.4038643043	0.82
101	0.4034663795	0.82
102	0.4031804409	0.82
103	0.4028790225	0.82
104	0.4020739257	0.82
105	0.4013372448	0.82
106	0.4005518404	0.82
107	0.4002920346	0.82
108	0.3999659389	0.82125
109	0.3997785648	0.82125
110	0.3994716979	0.82125
111	0.3989035072	0.82125
112	0.3979073723	0.8225
113	0.3975716125	0.8225
114	0.3973259203	0.8225
115	0.3970519539	0.8225
116	0.3967588786	0.8225
117	0.3966416111	0.8225
118	0.396260098	0.8225
119	0.3961536994	0.8225
120	0.3954879772	0.8225
121	0.3953098614	0.8225
122	0.3953092965	0.8225
123	0.3951414123	0.8225
124	0.3947030856	0.8225
125	0.3939889701	0.8225
126	0.3939683272	0.8225
127	0.3936259456	0.8225
128	0.3930734917	0.8225
129	0.392541334	0.8225
130	0.3925182752	0.8225
131	0.392142764	0.82375
132	0.3917817113	0.82375
133	0.3917609678	0.82375
134	0.3915773273	0.82375
135	0.3912401274	0.82375
136	0.3911282424	0.825
137	0.3909444644	0.825
138	0.3907704534	0.82625
139	0.3907624794	0.82625
140	0.3905010736	0.82625
141	0.390266749	0.82625
142	0.3898823999	0.825
143	0.3895682869	0.8275
144	0.3889880727	0.82875
145	0.3888577251	0.82875
146	0.3886692391	0.83
147	0.3882185889	0.83375
148	0.3880806952	0.82875
149	0.3875840386	0.83
150	0.3875102716	0.83125
151	0.3869932148	0.83375
152	0.386887257	0.83375
153	0.386618334	0.83375
154	0.3860458615	0.83375
155	0.3860132566	0.83375
156	0.3859186766	0.83375
157	0.3858163283	0.83375
158	0.3854788491	0.835
159	0.3846667633	0.835
160	0.3846628198	0.835
161	0.3845821149	0.835
162	0.3844865542	0.835
163	0.3841180424	0.835
164	0.3834779119	0.83625
165	0.3833029546	0.83625
166	0.3831272411	0.83625
167	0.3830545579	0.8375
168	0.3824914501	0.83375
169	0.3822933169	0.83375
170	0.3822594255	0.83375
171	0.3819608421	0.835
172	0.3818689828	0.835
173	0.3818063883	0.835
174	0.3817096379	0.835
175	0.3815895091	0.835
176	0.3814368127	0.835
177	0.3812241756	0.8375
178	0.3808847124	0.8375
179	0.3805831319	0.83875
180	0.380557632	0.83875
181	0.3804349985	0.84
182	0.380140638	0.84125
183	0.3798985396	0.84
184	0.3793284774	0.8425
185	0.3792254965	0.84375
186	0.3789663238	0.84375
187	0.3789440959	0.84375
188	0.3789249166	0.8425
189	0.3782004578	0.84625
190	0.3781232206	0.8475
191	0.3775034478	0.84625
192	0.3771178262	0.84125
193	0.3767208555	0.84375
194	0.376425877	0.8425
195	0.3763548502	0.8425
196	0.3762229356	0.8425
197	0.3760352447	0.8425
198	0.375751723	0.84125
199	0.375734037	0.84125
200	0.3754618659	0.845
201	0.3753705324	0.845
202	0.3749819895	0.84875
203	0.3745799765	0.84875
204	0.3742264301	0.84875
205	0.3739139109	0.84875
206	0.3738780374	0.84875
207	0.3736572778	0.85
208	0.3735344847	0.85
209	0.3734390805	0.85125
210	0.3731010187	0.8525
211	0.3730126388	0.8525
212	0.3726704845	0.8525
213	0.3725659246	0.8525
214	0.3724245011	0.8525
215	0.3721754266	0.8525
216	0.3720803574	0.8525
217	0.3720192808	0.8525
218	0.3718052826	0.8525
219	0.3715782536	0.85375
220	0.3715508141	0.85375
221	0.3712583717	0.855
222	0.3706592791	0.8575
223	0.3706312108	0.8575
224	0.3706081743	0.8575
225	0.3701652384	0.855
226	0.3698974891	0.8575
227	0.3698893334	0.8575
228	0.3695570045	0.85875
229	0.3692283248	0.85875
230	0.3691161064	0.85875
231	0.3685682088	0.85625
232	0.368351804	0.8575
233	0.3680495544	0.85875
234	0.367938328	0.85875
235	0.3678402513	0.85875
236	0.3676208566	0.85875
237	0.3673651201	0.85875
238	0.3671471366	0.85875
239	0.3670363807	0.85875
240	0.3667704016	0.85875
241	0.366687801	0.85875
242	0.3665330471	0.8575
243	0.3663644157	0.8575
244	0.3659944075	0.86
245	0.3658432164	0.8575
246	0.365453353	0.8575
247	0.3651894498	0.85875
248	0.3645636735	0.85875
249	0.3645635778	0.85875
250	0.3643881549	0.85875
251	0.3641854002	0.85875
252	0.3638044872	0.85875
253	0.3637197143	0.86
254	0.363376167	0.86
255	0.3632037745	0.86375
256	0.3629842827	0.86375
257	0.362736552	0.86375
258	0.3622737963	0.865
259	0.3621404335	0.865
260	0.3621186258	0.865
261	0.3618926315	0.86625
262	0.3615604546	0.86625
263	0.3615393723	0.86625
264	0.3608348258	0.86625
265	0.3608137965	0.86625
266	0.3605158981	0.865
267	0.3603805232	0.865
268	0.3600333472	0.865
269	0.3600134662	0.865
270	0.3593342528	0.865
271	0.3591888474	0.865
272	0.3588067036	0.8625
273	0.3587890939	0.8625
274	0.3587189332	0.8625
275	0.3583390891	0.8625
276	0.3582453874	0.8625
277	0.3582177444	0.8625
278	0.3578595339	0.8625
279	0.3577328011	0.86125
280	0.3573468625	0.86125
281	0.357261305	0.8625
282	0.3571716645	0.8625
283	0.356992718	0.86375
284	0.3568458848	0.86375
285	0.3564593823	0.8625
286	0.3560002545	0.86375
287	0.3556870276	0.86375
288	0.3555285139	0.865
289	0.3553303144	0.865
290	0.3551208891	0.86625
291	0.3549447409	0.86625
292	0.3546746107	0.8675
293	0.3544684157	0.8675
294	0.3543195755	0.8675
295	0.3543116219	0.8675
296	0.3538496383	0.8675
297	0.3537315994	0.8675
298	0.3535486461	0.8675
299	0.353343218	0.8675
300	0.3529620118	0.86875
301	0.3527182626	0.8675
302	0.3524618151	0.86875
303	0.3523657383	0.86875
304	0.3520680026	0.86875
305	0.3520221986	0.8675
306	0.3518999444	0.86875
307	0.3514694232	0.86875
308	0.3511529734	0.8675
309	0.351003046	0.8675
310	0.3507623717	0.8675
311	0.3505834321	0.86875
312	0.3503614475	0.86875
313	0.3502476552	0.87
314	0.350059382	0.8675
315	0.3499784522	0.8675
316	0.3497140075	0.8675
317	0.3496818353	0.8675
318	0.3494634413	0.8675
319	0.3492379909	0.8675
320	0.3490629431	0.8675
321	0.348769681	0.8675
322	0.3485934488	0.8675
323	0.3483442303	0.86875
324	0.3482421651	0.86875
325	0.3482126367	0.8675
326	0.3479322086	0.8675
327	0.3473746657	0.86875
328	0.3472943679	0.86875
329	0.3471072403	0.86875
330	0.3465843592	0.87
331	0.3463791135	0.86875
332	0.3462866104	0.87
333	0.346146374	0.86875
334	0.3460649148	0.87
335	0.3459859965	0.87
336	0.3459056679	0.87
337	0.3458350649	0.87
338	0.3457159548	0.87
339	0.3454252991	0.87125
340	0.3451402557	0.87125
341	0.3451031024	0.87125
342	0.3450190921	0.87125
343	0.3448410023	0.87125
344	0.3445327192	0.8725
345	0.3445020731	0.8725
346	0.3443542709	0.8725
347	0.3440098544	0.87375
348	0.3437098961	0.87625
349	0.3435109832	0.875
350	0.3430940614	0.875
351	0.342693635	0.875
352	0.342373183	0.87625
353	0.3422601754	0.875
354	0.342077961	0.87625
355	0.3416913719	0.87625
356	0.3411435066	0.8775
357	0.3411070676	0.8775
358	0.3407512449	0.88
359	0.3404400727	0.87875
360	0.3403783779	0.88
361	0.3399766061	0.87875
362	0.3396235883	0.88
363	0.3388581258	0.8825
364	0.3387806902	0.88375
365	0.3387449088	0.88375
366	0.338333252	0.88375
367	0.3380529208	0.88625
368	0.3379893047	0.885
369	0.337412312	0.885
370	0.3370972076	0.885
371	0.3370164472	0.88375
372	0.3366194651	0.88375
373	0.336560266	0.88375
374	0.3364346947	0.88375
375	0.336149069	0.88375
376	0.3360644845	0.88375
377	0.3359499729	0.885
378	0.335593586	0.885
379	0.3353711053	0.885
380	0.335027903	0.885
381	0.3346980022	0.885
382	0.3339801104	0.88375
383	0.3338865148	0.88375
384	0.3335535694	0.88375
385	0.3333097302	0.88375
386	0.3332641182	0.88375
387	0.3332519762	0.88375
388	0.3329237312	0.88375
389	0.3323054828	0.885
390	0.3322527493	0.885
391	0.3320413458	0.885
392	0.3316830464	0.88625
393	0.3313505657	0.8875
394	0.3310775991	0.8875
395	0.3307844828	0.89
396	0.3305367939	0.89
397	0.3304580675	0.89
398	0.3303440239	0.89
399	0.32987129	0.89
400	0.3293260331	0.89
401	0.3288941056	0.89
402	0.3287523387	0.88875
403	0.3285501677	0.88875
404	0.3282677318	0.88875
405	0.3281504368	0.88875
406	0.3279794324	0.88875
407	0.3276010911	0.89
408	0.3274075188	0.89
409	0.3268873123	0.89125
410	0.3266823781	0.89125
411	0.3265379912	0.89125
412	0.3262888221	0.89125
413	0.325818247	0.89
414	0.3254839499	0.89
415	0.3254019481	0.89
416	0.3252014632	0.89
417	0.3247395383	0.89125
418	0.3246444717	0.89125
