iter	Logloss	Accuracy
0	0.6757082396	0.8025
1	0.6596781288	0.80125
2	0.6444362317	0.8
3	0.6292572031	0.8025
4	0.6159746447	0.8025
5	0.6085465691	0.7975
6	0.5970239703	0.8025
7	0.5862400657	0.80625
8	0.5756445123	0.80375
9	0.5658502886	0.8075
10	0.5556364489	0.80625
11	0.5503672439	0.80625
12	0.5410745227	0.8075
13	0.535406169	0.8075
14	0.5300877204	0.8075
15	0.5233462628	0.80875
16	0.5161100362	0.80875
17	0.5118380439	0.80875
18	0.5059881173	0.81
19	0.5016649897	0.8075
20	0.4989303971	0.8075
21	0.494798889	0.80625
22	0.4914543922	0.80625
23	0.4868537575	0.80625
24	0.4845723146	0.80625
25	0.4807629968	0.8075
26	0.4771955043	0.8075
27	0.4734708821	0.80625
28	0.4695132883	0.80875
29	0.4656723254	0.8075
30	0.4645204982	0.8075
31	0.4601715404	0.80875
32	0.4583548811	0.80875
33	0.4561660199	0.81
34	0.4533374118	0.81125
35	0.4508492553	0.8175
36	0.4488200629	0.81875
37	0.4479632349	0.8175
38	0.4460038156	0.81875
39	0.4440621401	0.81625
40	0.4422901423	0.8175
41	0.440050913	0.81875
42	0.4385461701	0.81875
43	0.4372743401	0.81875
44	0.4357822317	0.81875
45	0.4341523703	0.81875
46	0.4324229478	0.81875
47	0.4312047832	0.82
48	0.4307021191	0.8175
49	0.4297969306	0.81875
50	0.428782728	0.81875
51	0.4280197623	0.81875
52	0.4271825918	0.82
53	0.4262018957	0.82125
54	0.4255524455	0.8225
55	0.4241257505	0.8225
56	0.4225770378	0.82375
57	0.4218668213	0.8225
58	0.4218308416	0.8225
59	0.4214264052	0.82375
60	0.4202622011	0.82375
61	0.4197739402	0.825
62	0.4180075242	0.82625
63	0.4179817215	0.8275
64	0.4179574493	0.8275
65	0.4168269335	0.8275
66	0.4151368718	0.83
67	0.4145107656	0.83
68	0.4137613828	0.83
69	0.4129396063	0.83
70	0.4126808345	0.83
71	0.4120932602	0.83
72	0.4114787401	0.83
73	0.4103270247	0.83
74	0.4098887079	0.83
75	0.4096952587	0.83
76	0.409459997	0.83
77	0.4090236837	0.83125
78	0.4077904296	0.8325
79	0.4077816598	0.8325
80	0.4073625277	0.8325
81	0.406873551	0.8325
82	0.4062380151	0.8325
83	0.4055765364	0.8325
84	0.4051461463	0.8325
85	0.4049052214	0.8325
86	0.4045548903	0.8325
87	0.4043323494	0.8325
88	0.4038648584	0.8325
89	0.4035246665	0.8325
90	0.4032726421	0.8325
91	0.4030791108	0.8325
92	0.4021990281	0.8325
93	0.4021190937	0.8325
94	0.4016888781	0.8325
95	0.4015154799	0.8325
96	0.4011558826	0.83375
97	0.4005370933	0.83375
98	0.4005346979	0.83375
99	0.4002236615	0.83375
100	0.3999681111	0.83375
101	0.3998976923	0.83375
102	0.3995928684	0.8325
103	0.3992382217	0.83125
104	0.3987174813	0.83125
105	0.3984890137	0.8325
106	0.3981948329	0.83375
107	0.398048305	0.83375
108	0.3977374745	0.8325
109	0.3975855825	0.83375
110	0.3973417169	0.83375
111	0.3972416026	0.83375
112	0.3968912332	0.83375
113	0.3966777772	0.8325
114	0.3957427113	0.83375
115	0.3953686861	0.8325
116	0.3952741715	0.8325
117	0.3952734505	0.8325
118	0.3946121993	0.83375
119	0.394465079	0.83375
120	0.3936910228	0.835
121	0.393685062	0.835
122	0.3935799158	0.835
123	0.3934548833	0.835
124	0.3933616824	0.835
125	0.3933157468	0.83625
126	0.3931638648	0.83625
127	0.3930324229	0.83625
128	0.3924563877	0.835
129	0.3924422207	0.835
130	0.3916652844	0.83875
131	0.3913606535	0.83875
132	0.39121674	0.83875
133	0.3911492467	0.83875
134	0.3910106574	0.83875
135	0.3907541481	0.83875
136	0.3905047806	0.83875
137	0.3904532264	0.83875
138	0.3902730282	0.83875
139	0.3902043479	0.83875
140	0.3897520264	0.84
141	0.3894258824	0.84
142	0.3894032836	0.84
143	0.3893229327	0.83875
144	0.3888943511	0.84
145	0.3888943505	0.84
146	0.3885350362	0.84125
147	0.3879591711	0.84
148	0.387921085	0.84
149	0.387750103	0.84
150	0.3873848926	0.84125
151	0.3868039463	0.84125
152	0.3866252302	0.84125
153	0.3866006743	0.84125
154	0.3864764287	0.84125
155	0.3856857169	0.84125
156	0.3854888299	0.84125
157	0.3853223584	0.84125
158	0.3852014554	0.84125
159	0.3850868277	0.84125
160	0.3850836808	0.84125
161	0.3848830909	0.84125
162	0.3846427183	0.8425
163	0.3843054963	0.8425
164	0.3842666906	0.8425
165	0.3841557169	0.8425
166	0.3841557133	0.8425
167	0.3835542745	0.8425
168	0.3834979063	0.8425
169	0.3833638237	0.8425
170	0.3831382031	0.8425
171	0.3829707469	0.8425
172	0.3824114444	0.8425
173	0.3823574228	0.8425
174	0.3820951187	0.8425
175	0.3819484195	0.8425
176	0.3817357692	0.8425
177	0.3815477291	0.8425
178	0.3813742445	0.8425
179	0.3810366078	0.8425
180	0.3807590224	0.8425
181	0.3807123174	0.8425
182	0.380283861	0.8425
183	0.3798932523	0.8425
184	0.3795371751	0.8425
185	0.3789333409	0.8425
186	0.3786785483	0.8425
187	0.3783866824	0.8425
188	0.3779713085	0.845
189	0.3779198203	0.845
190	0.3778061355	0.84625
191	0.3777702654	0.84625
192	0.377433815	0.84625
193	0.3774301195	0.84625
194	0.3772035217	0.84625
195	0.3770539964	0.84625
196	0.3769219497	0.84625
197	0.3769005028	0.845
198	0.3766824435	0.845
199	0.3764233001	0.845
200	0.3758692697	0.84625
201	0.3750695199	0.84625
202	0.3745265495	0.84875
203	0.3743659432	0.84875
204	0.3743141617	0.84875
205	0.3741277707	0.84875
206	0.3740546437	0.84875
207	0.3738805843	0.84625
208	0.3737195504	0.84625
209	0.3736097581	0.8475
210	0.3732377507	0.84875
211	0.3731652294	0.84875
212	0.3730090365	0.84875
213	0.3726295053	0.84875
214	0.372478876	0.8475
215	0.3722197823	0.85
216	0.37203698	0.85
217	0.3715933918	0.85125
218	0.3714815947	0.85125
219	0.3711797748	0.84875
220	0.3707399651	0.85
221	0.3704780422	0.85
222	0.3700925743	0.85
223	0.3698735108	0.84875
224	0.3693272642	0.85
225	0.3692356906	0.85
226	0.3690173234	0.84875
227	0.3687992887	0.84875
228	0.3682983323	0.85
229	0.367352224	0.85
230	0.3670646547	0.85
231	0.3668090199	0.85
232	0.3667447193	0.85
233	0.3667169549	0.85
234	0.36671443	0.85
235	0.3664823664	0.85
236	0.3662810767	0.85
237	0.3662384963	0.85
238	0.3660503859	0.85125
239	0.3657642275	0.85125
240	0.3657522537	0.85125
241	0.3653933584	0.85125
242	0.3650790928	0.85375
243	0.3647309846	0.8525
244	0.3645295322	0.8525
245	0.3642236983	0.8525
246	0.3638261808	0.8525
247	0.3634282424	0.85375
248	0.3634139762	0.85375
249	0.3631911412	0.85375
250	0.3629717071	0.85375
251	0.3626852435	0.85375
252	0.3623188513	0.855
253	0.3617945517	0.85625
254	0.3614602766	0.85625
255	0.3613603644	0.85625
256	0.3613389031	0.85625
257	0.3610483804	0.8575
258	0.3604398727	0.85625
259	0.3603718056	0.85625
260	0.3598589592	0.85625
261	0.3593832331	0.85625
262	0.3591607259	0.855
263	0.3589803112	0.855
264	0.3587872179	0.85625
265	0.3587516139	0.8575
266	0.3579040554	0.8575
267	0.3576967743	0.8575
268	0.35767087	0.8575
269	0.3570244862	0.8575
270	0.3560804737	0.85875
271	0.3558256283	0.86
272	0.3557752741	0.86
273	0.3554192682	0.86
274	0.3553610993	0.86
275	0.3549433914	0.86125
276	0.354657142	0.86
277	0.35443513	0.86125
278	0.3543705109	0.86
279	0.354235714	0.86
280	0.3541667862	0.86
281	0.3539227523	0.86
282	0.3538140758	0.86
283	0.3534324163	0.86125
284	0.35340481	0.86
285	0.3529991941	0.8625
286	0.3529790734	0.8625
287	0.3527702803	0.8625
288	0.352758701	0.8625
289	0.3524766366	0.8625
290	0.352329717	0.8625
291	0.3522519215	0.8625
292	0.3521327685	0.8625
293	0.3519786587	0.86125
294	0.3519180386	0.86125
295	0.3515854527	0.86125
296	0.3511337191	0.8625
297	0.3510042804	0.8625
298	0.3506073337	0.8625
299	0.3499818766	0.86375
300	0.3495274257	0.86375
301	0.3490523748	0.8625
302	0.3484457908	0.8625
303	0.3474919094	0.86625
304	0.3472196232	0.86625
305	0.346781352	0.8675
306	0.3467355362	0.8675
307	0.3462562721	0.8675
308	0.3460696016	0.865
