iter	Passed	Remaining
0	8	8735
1	20	10203
2	33	11101
3	47	11726
4	61	12200
5	68	11407
6	82	11686
7	94	11764
8	105	11666
9	119	11812
10	133	11996
11	140	11532
12	153	11637
13	167	11816
14	183	12048
15	198	12179
16	210	12165
17	221	12081
18	234	12109
19	248	12197
20	255	11906
21	268	11942
22	281	11972
23	294	11995
24	303	11834
25	316	11847
26	330	11928
27	344	11958
28	360	12066
29	389	12595
30	402	12594
31	419	12674
32	433	12700
33	446	12695
34	460	12707
35	473	12677
36	486	12658
37	495	12545
38	508	12520
39	524	12594
40	552	12931
41	638	14561
42	654	14567
43	667	14509
44	685	14543
45	702	14562
46	724	14688
47	749	14867
48	763	14816
49	791	15032
50	804	14969
51	818	14913
52	831	14856
53	842	14768
54	855	14693
55	866	14606
56	880	14568
57	893	14517
58	896	14300
59	912	14302
60	926	14260
61	939	14216
62	952	14159
63	955	13974
64	958	13784
65	981	13892
66	994	13853
67	1008	13817
68	1021	13777
69	1033	13734
70	1046	13696
71	1059	13654
72	1072	13619
73	1087	13603
74	1099	13562
75	1130	13745
76	1140	13675
77	1159	13702
78	1178	13737
79	1181	13587
80	1195	13560
81	1208	13531
82	1221	13500
83	1235	13471
84	1247	13433
85	1260	13397
86	1275	13384
87	1288	13352
88	1301	13317
89	1313	13277
90	1327	13256
91	1340	13231
92	1354	13205
93	1360	13114
94	1376	13109
95	1385	13049
96	1398	13018
97	1410	12981
98	1413	12865
99	1425	12829
100	1434	12771
101	1447	12747
102	1460	12714
103	1475	12715
104	1491	12709
105	1505	12699
106	1520	12688
107	1534	12672
108	1547	12651
109	1561	12632
110	1573	12602
111	1581	12535
112	1592	12503
113	1605	12474
114	1619	12462
115	1632	12441
116	1649	12447
117	1659	12406
118	1882	13937
119	1899	13930
120	1913	13902
121	1919	13813
122	1935	13800
123	1946	13750
124	1964	13751
125	1984	13764
126	2003	13772
127	2018	13753
128	2033	13726
129	2040	13656
130	2053	13620
131	2064	13578
132	2078	13547
133	2088	13499
134	2100	13458
135	2150	13658
136	2166	13645
137	2179	13611
138	2191	13572
139	2203	13532
140	2214	13490
141	2226	13453
142	2238	13415
143	2244	13342
144	2257	13309
145	2259	13218
146	2274	13199
147	2288	13171
148	2302	13148
149	2315	13118
150	2329	13095
151	2342	13068
152	2356	13042
153	2365	12995
154	2379	12969
155	2392	12946
156	2406	12919
157	2418	12888
158	2430	12856
159	2443	12829
160	2451	12776
161	2465	12752
162	2478	12727
163	2491	12701
164	2503	12667
165	2519	12657
166	2522	12581
167	2535	12558
168	2550	12539
169	2563	12518
170	2576	12490
171	2589	12464
172	2602	12441
173	2617	12423
174	2629	12396
175	2642	12373
176	2655	12347
